"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,36.5,36.4240278346296,37.3,37.2536941813261,37.4,37.5,37.3426831140912,37.7,37.4733281414862,38,38.2,37.9133557253474,34.7,38.2218295218295,29.2,29.6,30.039246364037,27.3,26.8593123209169,29,28.6,28.1720972923359,27.4,27.2229219143577,27.6,28.2,27.9615965605392,30.2,29.9605249412379,33,34.7,35.6702775897089,36.6,37.3766129032258,37.6,37.4,36.6313366960908,37.9,37.9199528093201,38,38,37.8773283661522,37.9,37.8406768587482,37.9,37.8,37.6670181237889,38,0,38.1,38.2,38.1388362652232,38.3,38.2034260797342,38.3,38.3,38.0705396171431,38.4,38.1038052475794,38.5,34.9,38.4142646368453,30.6,31.3140585142381,30.7,32.3,32.1678862684593,32.5,32.4946281925714,33.9,35.1,35.2914357682619,34.6,36.6322150633193,34,34.6,34.4082136328023,36.4,36.968345323741,38.5,39.1,40.229435483871,40.5,36.6020280057943,41.3,40.8,40.8779014894558,40.6,40.5105102606767,40.9,41,40.9096890108454,40.7,40.4667029379761,41,41.5
1,37.2,37.1517374517374,37.9,37.8537744758547,37.7982698622384,38.1,37.9180227445923,38.4,38.2432561347049,38.0978940411926,38.8,38.6602910602911,37.1,39.8799416870983,40.3513047928121,32.2,32.3751503006012,31,30.6249919622763,29.8680187899882,32.1,31.8636820526385,31.5,31.2322993931221,32.0083774371122,32.7,32.1051696571327,34.7,34.964275639734,34.6874926398814,37.6,37.7905686546463,39.1,39.646741277156,38.1406689864886,38.3,37.389581972567,38.6,38.6675647418369,38.7159822250517,39,38.9716575967054,38.9,38.9615129151292,38.8350502128991,38.9,38.7333725336469,39,0,0.964702296281252,39,38.9369105332745,39.1,39.0702158359887,38.8760390790382,39.2,39.037302453882,39.1,38.8032174494401,38.6635218878993,36.6,39.3964084553708,33,33.6872131147541,33.8488452314465,35.5,35.6791126353017,36.4,35.8511062749365,35.7207083367933,38.3,38.3120026972354,38.1,38.7491269308261,38.2424167528776,39,39.4990731412452,40,40.438813735692,41.0073659113181,41.9,42.7545753785385,41.9,39.3309492357049,38.3462907424087,41.5,41.5687308991475,41.4,41.4594744121715,41.3775943984928,41.9,41.9936162361624,41.5,41.4802536488593,41.2104564952527,42.1
2,36.4,36.3439048562934,37.3,37.2224699729901,37.207393836021,37.8,37.6099762726488,38,37.8,37.4010098755789,38.5,38.3058860869063,34.3,37.6905161691542,38.2735037526621,29.2,29.2440154440155,28.2,27.234243106359,26.0365711848498,29.9,29.4937142857143,29.3,29.2667763157895,30.1069494584838,31.1,30.65,32.1,32.1294615645107,31.6661354850768,35.8,35.4780734433209,37.3,38.3686909581646,34.8163595802693,37.5,36.806008691292,38,38.3011335012594,38.264979899514,38.1,37.9610042578182,38,37.9613859932462,37.7839406118736,37.8,37.5656586365966,37.9,0,1.45004955401388,38.6,38.4966955922073,38.7,38.7319781251726,38.5307971963661,38.6,38.4,38.7,38.3710674622907,38.1741597256695,34.6,37.9857587064677,30.5,30.941009681881,30.9211656974105,33.3,33.5898705683737,34.5,33.9250378342021,34.070757308607,36.2,36.5072368421053,35.9,37.1509557475779,36.4848501851644,36.3,36.2946156451067,37.7,38.1682707562136,37.8312195326508,39.9,41.4897435897436,40.8,37.9758574947887,37.2520803542575,40.9,41.2705289672544,40.8,40.9140816025924,40.7697146871859,40.8,40.7560416972544,40.8,40.7164469212994,40.395030707478,41.6
3,36.2,36.1694689084601,37,36.9362048230901,37.0075018888219,37.4,37.2411092597001,37.6,37.4070754440471,37.2294788722354,38,37.8105257002515,35.3,39.1230677247527,38.8926691289429,28.9,29.1770647270049,28.3,26.7994597963848,23.9169449282879,32.1,31.3745477230193,32.7,33,33.9138384662452,34,33.6522711631108,35.7,35.5413394919169,35.7323208629446,39.1,36.3989208633094,38.9,40.148717948718,34.5686666666667,38.1,37.6451196273555,38.3,38.3085271317829,38.3796993112716,38.4,38.2954201481948,38.4,38.3067191913186,38.2230630936741,38.3,38.162213943587,38.3,0,1.5200693888444,38.6,38.5027849863915,38.7,38.7,38.5046715067841,38.7,38.4767688610118,38.8,38.5896431319169,38.3964449880512,35.7,39.6049244483096,29.9,30.5914285714286,30.8932550278191,34.7,35.1355495532932,38,37.5146332193083,37.5306107562004,38.9,39.2,38.5,43.8327935222672,43.7997411470335,39.6,39.1531177829099,40.6,40.6466936572199,37.394813541879,42.2,44.0833333333334,41.8,38.593992248062,38.1346143808872,41.3,41.2387596899225,41.1,41.1473884927873,40.9737232768643,41.2,41.0794559238888,40.9,40.8550400674821,40.645525238552,41.4
4,36,35.9083205072954,36.8,36.6664045473287,36.7614237098685,37.1,36.9467221381745,37.3,37.0961157117909,37.0000072851635,37.6,37.5634686346863,35.9,38.9745812246062,39.6364782563723,31,31.1196190783633,30.4,30.0345524076269,29.0041230372485,30.5,28.9137392661983,31.1,31.5084050135168,32.5711951914437,33.2,32.9115758028379,34.6,34.6585534435942,34.7279245607671,38,37.0368421052632,38.6,39.3673060156931,36.1176387619282,38.4,38.1153225806452,38.7,38.7312028183191,38.8278257807261,38.7,38.6818898177333,38.5,38.4613924050633,38.3081871481817,38.4,38.1885728358576,38.5,0,1.42762112910177,38.7,38.5333333333333,38.9,38.9,38.6972516389309,39,38.7666666666667,38.9,38.7328740910831,38.6984328993692,36.7,39.786955591988,31.8,32.1946083596769,32.2629376593824,33.4,33.3721049229775,36,35.6275115473441,35.4542184764717,38,37.9870115507496,37.8,41.2144414168937,41.111564407128,38.4,38.3253517649963,39.6,40.3070197562001,39.1617287228159,41.3,42.3191804707934,41.7,39.2861721121228,38.9746951329256,41.5,41.5593860090589,41.2,40.9306171444711,40.878422569768,41.4,41.3252756227031,41.4,41.366631948965,41.072463480003,41.9
5,35.7,35.7046959270969,36.5,36.4155329405463,36.5593366291783,36.8,36.49661094836,37.1,36.8137315522371,36.7627639830976,37.4,37.3172656960874,34.1,37.33600849579,37.9913603103966,29.5,29.5749693251534,28.9,27.9952380952381,25.7274934383202,31,29.7247790618627,32.4,32.6800458715596,33.4636108249315,34.1,33.9613716591024,35.3,35.5840182648402,35.9282087493075,39,35.4334355828221,38.6,41.9175438596491,35.1058479532164,38,37.5517933390265,38.4,38.1597860605048,38.2686551925877,38.6,38.5538367513242,38.4,38.270355987055,38.2138726457672,38.3,38.0930418429713,38.4,0,1.3890087409336,38.7,38.5984467059454,38.7,38.8023746376365,38.4285936462967,38.8,38.4626611444905,38.7,38.6311197089565,38.5345227058643,36.1,39.2841234923765,30.6,30.9199561403509,30.9130384242816,33.3,33.3829931972789,37.2,37.1506671005532,37.8929151467918,38.5,38.4512614678899,38.4,41.0940870954854,41.5744513341428,39.6,39.9429223744292,40.9,42.3655844155844,37.3640008764242,41.9,46.780701754386,41.4,37.5160832544939,37.0920517682531,41.2,40.7959886344643,41,40.746875,40.6718457150618,41.1,40.8890938511327,41,40.8479663740883,40.5763207773789,41.5
6,36.6,36.5507732785728,37.6,37.5159952243923,37.5835255631267,38,37.8219723888856,38.3,38.1734138354482,38.047911386357,38.8,38.6457725947521,34.7,37.5798638508548,38.4063917871489,30.7,31.2992151594428,29.8,29.8693119156078,29.0767220929434,28.9,25.5585197018104,28.7,28.9595318988297,31.3374885846095,33.8,33.740780730897,35.6,35.8048507462686,35.9992505825304,38.4,35.7833418497701,39.4,36.2146313364055,32.8233892552262,38.8,38.4299227799228,39.3,39.0808477237049,38.9151544481297,39.5,39.4511755809157,39.3,39.140723210905,39.0216152072442,39.1,38.9303571428571,39.2,0,1.07698132580373,39.4,39.3002908222617,39.5,39.5679453368497,39.3674493531096,39.6,39.4672943102742,39.5,39.3072023517884,39.160368566829,36.8,39.5862922565174,31,31.6924525353543,32.2432134435307,30.5,30.5907935746823,34.2,33.5538663171691,32.7028735848767,37.9,38.3887504718762,38,44.9427839453459,44.6707041855926,39.1,39.2460820895522,40.2,42.2321196358907,38.7587663703301,41.5,37.36866359447,41.1,37.5349790961577,37.1529483154162,41.8,41.4905808477237,41.6,41.3671024734982,41.2924779996104,41.9,41.6910071942446,41.8,41.573941783602,41.3701871613597,42.3
7,37.5,37.4256973692242,38.3,38.1675186846039,38.3392892686018,38.7,38.5070057749519,39,38.7877668308703,38.7179493862657,39.4,39.43564010943,36.5,39.0879852649476,39.8645374015009,31.1,31.6740701113978,30.1,30.3309281247804,29.7449218481107,28.9,24.3776514149696,28.6,28.9463003987594,31.5421066678312,33.9,33.9744441604907,35.9,35.828320802005,36.1013787932435,38.3,36.2859099804305,38.7,35.9588972431078,33.3564158966262,39.8,38.9774921398188,40.6,40.2644580225361,40.2696704755696,40.8,40.805069124424,40.6,40.4571410845018,40.4024592430674,40.4,40.1551801048288,40.5,0,1.25787096380394,40.8,40.6663976083707,40.9,41.0173502744711,40.7606197923844,41,40.7040229885057,40.9,40.5971293868214,40.6305304345318,38,40.5127514876736,31.1,31.9019590382903,32.4410264060885,30.2,30.4339914283707,34.5,33.7063730084349,32.5507736730315,38.1,38.6209791758972,38.5,42.9664647993944,43.0663960830114,39.6,39.2964912280702,40.5,43.2648351648352,40.6289262596504,42.3,37.7994987468672,42.6,39.1137620051534,38.3682925142845,43.2,42.7478892239327,43,43.0069468768243,43.0323565254586,43.2,43.0026181908425,43.2,42.9943963500234,42.6862138139851,43.7
8,37.8,37.7182543198937,38.6,38.467334607559,38.5354416943746,38.9,38.6311479332416,39,38.8012891068972,38.8951412080942,39.1,39.06849330939,36.6,39.1383354350567,39.7279716636093,32.4,32.6804157717091,31.6,31.7268257101176,31.0611807214619,30.7,27.4597759922084,30.4,30.8197078484773,32.5326880832968,35.5,35.3138461538462,37,37.0952895938476,37.4265411584234,39,38.4385135135135,39,38.1829813160033,35.7055431342894,40,39.682188579557,40.5,40.2601895734597,40.310484991841,40.5,40.3477154424523,40.3,40.2331125827815,40.0432134533199,40.2,39.9304898248935,40.3,0,1.29397430217104,40.5,40.3665731549417,40.6,40.8381733901278,40.5251480828574,40.8,40.5556888197643,40.9,40.6991683991684,40.6656237253121,37.7,40.2412831021438,33.1,33.8280916887072,34.0775048562506,32.9,33.0365871449412,36.5,35.9530923850019,35.3681933811704,39.9,39.9621936122803,39.7,44.0014820042343,43.7499321426633,41.3,41.325534727229,42.2,42.9432779183231,42.4817055682806,43.3,41.5171405361495,43.2,39.8475233309404,39.5418734818459,43.2,42.8349695328368,43,42.710599078341,42.5276295133438,43.1,42.9774834437086,43.1,43.0060989497659,42.6393115630786,43.6
9,41.6,41.3329975825947,42.5,42.2994726003315,42.177282139228,42.4,42.1697410387014,42.9,42.769209861237,42.5843107747907,43.3,43.230981101729,38.9,43.3108516388331,43.8145186755705,38.7,39.0034496124031,38.9,39.0389914472013,38.2052232314894,36.8,37.7644686648501,35.8,35.3314610498161,35.3520193319781,35.9,35.5274300441826,36.5,36.7701497353814,37.2460076358762,38.7,39.1407544956998,39.7,40.3904858299595,37.9164298721241,40.9,40.1830283122165,40.2,39.827474988801,38.718750091749,40.8,41.5771889400922,40.9,40.7409218094202,40.6040147463971,41.8,40.6846335225002,42,0,-0.283763094278806,42.2,41.9991335576875,42.4,42.3078724321218,42.0778875686474,42.8,42.6695150445854,42.6,42.4345495755744,42.3632687441475,41.9,46.2625181900076,39.6,40.44696440768,40.7686962057449,39,39.1390718943179,38.7,38.6803264046769,39.9183902466652,39.3,38.6354563691073,39.2,40.2369846878681,39.6903604864772,40.2,40.4961791661288,40.3,41.1071475898625,41.7553985842193,41.7,42.6455465587044,43,39.6203908926053,39.0634454024382,43.2,42.8489771539496,42.5,41.8710926193922,42.8284422996126,44.5,44.1811518731541,43.4,41.9559531740744,40.8263949701991,44.8
