"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,38.2333333333333,38.1480781570178,38.0647115698268,37.9831917353693,37.9034777440222,37.8255295924005,37.7493081632815,37.674775205975,37.6018933171275,37.5306259219518,37.4609372558723,37.3927923465774,34.7,34.6930159058017,34.6861865246063,34.6795084291816,34.6729782682159,34.6665927646366,34.6603487139654,34.65424298271,34.6482725067922,34.6424342900095,34.636725402532,26.9,27.0658030116074,27.2279331228931,27.386471696654,27.5414982933227,27.6930907108939,27.8413250239658,27.9862756219176,28.1280152462406,28.2666150270425,28.402144518743,28.5346717349792,28.6642631827366,28.7909838957255,28.9148974670165,29.0360660809545,29.1545505443647,29.2704103170678,29.383703541719,29.4944870729863,29.6028165060819,29.7087462046624,29.81232932811,29.9136178582101,38,37.91991366873,37.8416014253311,37.7650239698663,37.6901428729784,37.6169205566047,37.5453202751191,37.4753060968915,37.4068428862563,37.3398962858801,37.2744326995197,37.2104192751621,37.1478238885389,37.0866151270043,29.8,29.9015616517565,30.0008734901967,30.0979853536194,30.1929459762959,30.2858030129265,30.3766030625554,30.4653916919558,30.552213458497,30.6371119325046,35.5,35.47529415136,35.4511355914487,35.4275121966203,35.4044121117947,35.3818237445077,35.3597357590936,35.3381370709964,35.3170168412077,35.2963644708266,35.2761695957411,35.2564220814272,35.2371120178627,35.2182297145541,35.1997656956736,35.1817106953039,35.164055652788,35.1467917081822,35.1299101978102,35.1134026499149,35.0972607804074,35.0814764887095,35.0660418536884,35.050949129682,41.5
1,39,38.945693499332,38.8924387178966,38.8402152877207,38.7890032352848,38.7387829738835,38.689535296135,38.6412413666341,38.5938827147491,38.5474412275573,38.5018991429171,38.4572390426751,38.413443846004,32.5,32.5715748381761,32.641763532282,32.7105929268823,32.7780893466604,32.8442786064864,32.9091860212903,32.9728364157439,33.0352541337557,33.0964630477812,33.1564865679534,33.2153476510362,33.2730688092044,33.4,33.4541451143362,33.5072416349055,33.5593098691522,33.6103697312392,33.6604407496645,33.7095420747303,33.7576924858672,33.8049103988164,33.8512138726733,33.8966206167946,33.9411479975708,33.984813045069,34.0276324595456,34.0696226178342,34.1107995796083,34.1511790935244,34.1907766032445,34.2296072533433,34.2676858951001,34.3050270921791,34.3416451261994,34.3775540021968,34.4127674539808,34.447298949387,34.481161695428,34.5143686433445,34.5469324935592,34.5788657005333,39.2,39.1418202273675,39.0847671851463,39.0288190526696,38.9739544318578,38.9201523390342,38.8673921968994,38.8156538266615,38.7649174403182,38.7151636330889,38.6663733759929,38.6185280085716,38.5716092317517,37.1,37.0824895829941,37.0653182790246,37.0484795207064,37.0319668678407,37.0157740049521,36.9998947388727,36.9843229963739,36.9690528218434,36.9540783750074,36.9393939286969,36.9249938666575,36.9108726814011,36.8970249720994,36.8834454425187,36.8701288989942,36.8570702484431,36.8442644964174,36.8317067451932,36.8193921918978,41.5,41.3972775997765,41.2965445585176,41.1977623495816,41.100893192448,41.005900038267,40.9127465556906,40.8213971169765
2,38.1333333333333,38.0363032789832,37.9418273612729,37.8498383472814,37.76027077387,37.673060901096,37.5881466668527,37.5054676427035,37.4249649908787,37.346581422404,37.2702611563311,37.1959498800423,37.1235947105989,37.0531441571075,36.9845480840777,36.9177576757425,28.7,28.8512849905429,28.9985876836421,29.1420129059092,29.2816627245891,29.4176365201953,29.5500310572333,29.6789405530619,29.8044567449425,29.9266689553225,30.0456641554015,30.1615270270228,30.2743400229373,30.3841834254796,30.4911354037003,30.5952720689944,30.6966675292656,30.7953939416636,30.8915215639352,30.9851188044216,31.0762522707412,31.1649868171902,31.2513855908951,31.3355100767515,31.4174201411787,31.4971740747233,31.5748286335413,31.6504390797876,31.7240592209434,31.7957414481073,31.8655367732795,31.9334948656633,31.9996640870123,32.0640915260465,32.1268230319624,32.1879032470613,32.2473756385183,32.3052825293159,32.361665128362,38.6,38.4906858091534,38.3842491121098,38.2806141641691,38.1797072144705,38.081456453508,37.9857919620282,37.8926456612724,37.8019512645293,37.7136442299628,37.627661714681,37.543942530015,37.4624270979743,37.3830574088488,37.3057769799267,36.2,36.1538613682781,36.1089372506631,36.0651956773182,36.0226055199538,35.9811364696747,35.9407590154113,35.9014444229183,35.8631647143265,35.8258926482318,35.7896017003102,35.7542660444412,35.719860534329,35.6863606856078,35.6537426584173,35.6219832404373,35.5910598303691,35.5609504218514,35.5316335877995,35.5030884651572,35.4752947400496,35.4482326333269,35.4218828864889,35.3962267479798,35.3712459598437,35.3469227447317
3,38.4666666666667,38.3448441131984,38.2273484796994,38.1140260816844,38.0047286932673,37.8993133532809,37.7976421782843,37.6995821822104,37.6050051024203,37.5137872319352,37.425809257628,37.3409561041609,37.2591167834674,37.180184249579,37.1040552586092,37.0306302337104,36.9598131348273,36.891511333076,36.8256354895854,36.7620994386421,36.7008200749851,36.6417172451042,36.5847136423989,36.5297347060617,33.5,33.5545845942145,33.6072304409311,33.6580064010054,33.7069788894782,33.7542119624464,33.7997674008484,33.8437047912739,33.8860816039031,33.9269532676778,33.9663732428027,34.0043930906712,34.0410625413079,34.0764295584157,34.110540402112,34.1434396894376,34.1751704527152,34.2057741958364,34.2352909485485,34.2637593188132,34.2912165433066,34.3176985361243,34.3432399357571,34.3678741503986,34.3916334016428,34.4145487666299,34.4366502186958,34.4579666665767,34.4785259922222,34.4983550872646,34.5174798881934,34.5359254102802,34.5537157802988,34.5708742680829,34.5874233169633,34.6033845731235,34.6187789139135,34.6336264751566,34.6479466774879,34.6617582517558,34.6750792635228,34.6879271366945,34.7003186763105,34.7122700905253,38.7,38.5698898624124,38.4444010050106,38.3233692881593,38.2066364021701,38.0940496602329,37.9854617987008,37.8807307844692,37.7797196291963,37.6822962101218,37.5883330972506,37.4977073866739,37.4103005398105,37.3259982283585,37.2446901847533,37.166270057938,37.0906352742554,37.0176869032819,36.9473295284261,36.879471122124,36.8140229254667,36.7508993321032,36.690017776268,36.6312986247841,36.5746650729031,36.5200430438442,36.4673610919023,36.4165503089958
4,38.3666666666667,38.2892678557802,38.2137779692872,38.14014992646,38.0683378077458,37.9982968261278,37.9299832991933,37.8633546218898,37.7983692399544,37.7349866239965,37.6731672442221,37.6128725457792,37.554064924713,37.4967077045135,37.4407651132407,37.3862022612159,30.5,30.6166206026391,30.7303649348212,30.8413039353987,30.9495067936252,31.0550409923056,31.1579723498842,31.2583650614927,31.3562817389874,31.451783449998,31.5449297560136,31.6357787495294,31.7243870902771,31.8108100405624,31.8951014997295,31.9773140377771,32.0574989281447,32.1357061796899,32.2119845678777,32.2863816652002,32.3589438708459,32.4297164396377,32.498743510257,32.5660681327714,38.7,38.6143800275234,38.5308717419341,38.4494230616745,38.3699831897001,38.2925025817983,38.2169329156894,38.1432270608897,38.0713390493174,38.0012240466236,37.9328383242309,37.8661392320609,37.8010851719349,37.73763557163,37.6757508595759,37.6153924401751,37.5565226697319,37.4991048329755,37.4431031201615,37.3884826047385,36.7,36.6637069970638,36.6283091060529,36.5937842503877,36.5601108979745,36.5272680477757,36.4952352167125,36.4639924268905,36.4335201931393,36.4037995108613,36.3748118441779,36.3465391143703,36.3189636886037,36.2920683689306,36.2658363815646,36.2402513664195,36.2152973669058,39.6,39.4921828912302,39.3870249280806,39.2844605267535,39.1844257209766,39.0868581221084,38.991696880229,38.8988826461894,38.8083575345975,38.7200650877166,38.6339502402547,38.5499592850217,38.4680398394339,38.3881408128448,38.310212374681,38.2342059233651,38.1600740560037,38.0877705388239,38.0172502783389
5,38.3,38.1855600800695,38.0746478356337,37.9671545240928,37.8629747548996,37.7620063862303,37.6641504248407,37.5693109290096,37.477394914474,37.3883122632633,37.3019756353446,37.2183003829912,37.1372044677905,37.0586083802107,36.9824350616461,36.9086098288668,36.8370603007953,36.7677163275423,28.3,28.4938157566499,28.6816570325799,28.8637079945499,29.0401471322744,29.2111474334214,29.3768765532159,29.5374969788153,29.6931661886181,29.8440368066618,29.9902567522615,30.131969385035,30.2693136454591,30.402424191091,30.5314315285925,30.6564621416835,30.7776386151513,30.8950797550377,31.0089007051206,31.1192130598059,31.2261249735383,31.3297412668405,31.4301635290831,31.5274902180865,31.6218167566531,31.7132356261232,31.8018364570472,31.887706117063,31.9709287960642,32.0515860887432,32.1297570745896,32.2055183954229,32.278944330535,32.3501068695164,32.4190757828377,32.4859186902552,32.5507011271076,32.6134866085697,32.6743366919251,32.733311036919,32.7904674642512,32.8458620122656,32.8995489918924,32.9515810398962,33.002009170484,30,30.1414122916312,30.2784654690991,30.4112939045722,30.5400278281207,30.6647934553989,30.7857131113921,30.9029053503483,31.0164850720136,31.1265636342841,31.2332489623856,31.3366456546876,31.4368550852554,31.5339755032413,31.6281021292116,31.7193272485046,31.8077403017108,31.8934279723634,31.976474271927,32.0569606221645,32.1349659349673,32.2105666897226,32.2838370082972,32.3548487277092,32.42367147056,32.4903727132947,32.5550178523585,32.6176702683144,32.6783913879832,32.7372407446695,32.7942760365296,32.8495531831415,32.9031263803307
6,39.2,39.0748102279298,38.9533074955271,38.8353832135575,38.7209319909136,38.6098515404255,38.5020425874444,38.3974087811192,38.2958566082861,38.197295309894,38.1016367998915,38.0087955865025,37.9186886958212,37.8312355976563,37.74635813356,37.663980446976,37.5840289154455,29.8,29.9516553112074,30.0988441301529,30.2416980022008,30.380344598493,30.5149078300514,30.6455079585198,30.7722617036433,30.8952823475833,31.0146798361599,31.1305608771123,31.2430290354654,31.3521848260881,31.4581258035252,31.5609466491835,31.6607392559503,31.7575928103203,31.8515938721025,31.9428264517807,32.0313720855952,32.1173099084133,32.2007167244531,32.2816670759257,32.3602333096541,32.4364856417316,32.5104922202745,32.5823191863282,32.6520307329777,32.719689162719,32.7853549431393,32.8490867609588,32.9109415744791,32.9709746644888,33.0292396836683,33.0857887045408,33.1406722660097,33.193939418527,33.24563776793,33.2958135179877,33.344511511694,39.5,39.3659747465486,39.2358967518689,39.1096497628561,38.9871209502462,38.8682008077778,38.7527830543249,38.640764538911,38.5320451485213,38.4265277186303,38.3241179463631,38.2247243062164,38.1282579682594,38.0346327187456,37.9437648830614,38,37.9101521534546,37.8229504701602,37.738317016363,37.6561761535833,37.576454471016,37.4990807199221,37.4239857499521,37.3511024473454,37.2803656749493,37.2117122140047,37.1450807076467,37.080411606068,37.0176471132991,36.9567311355545,36.8976092311004,36.8402285615997,36.7845378448891,36.7304873091472,36.6780286484126,36.6271149794119,36.5777007996597,36.5297419467913,36.4831955590948
7,39.9333333333333,39.811788187744,39.6935979452109,39.5786700033149,39.4669143156594,39.3582433213189,39.2525718762345,39.1498171865034,39.0498987435097,38.9527382608454,38.8582596129731,38.766388775581,38.6770537675852,38.5901845947314,38.5057131947553,38.4235733840547,30.3,30.444355226531,30.5847259435341,30.7212221318986,30.8539507368084,30.9830157515346,31.1085182989136,31.2305567105781,31.3492266039996,31.4646209574052,31.5768301826262,31.6859421959363,31.7920424869341,31.8952141855244,31.995538127051,32.0930929156311,32.1879549857421,32.2801986621082,40.3,40.1683340790012,40.040302415863,39.9158046973826,39.7947433792143,39.6770236094422,39.562553154264,39.4512423257254,39.3430039114495,39.2377531063051,39.1354074459621,39.0358867422803,38.9391130204819,38.8450104580577,38.75350532536,38.6645259278355,38.5780025498522,38.4938674000767,38.4120545583601,38.3324999240889,38.2551411659619,38.1799176731539,38.1067705078266,38.0356423589504,37.9664774974017,41,40.8490125986742,40.702192768926,40.5594254769665,40.4205988641827,40.2856041594957,40.1543355941385,40.0266903187857,39.902568322971,39.781872356728,39.6645078543956,39.5503828605244,39.4394079578303,39.331496197135,38.6,38.5152576740813,38.4328544155671,38.3527256612503,38.2748086300053,38.1990422735979,38.1253672288544,38.0537257711504,37.984061769183,37.9163206409921,37.850449311195,37.7863961694018,37.7241110297788,37.663545091727,37.6046509016475,37.5473823157608,37.4916944639535,37.4375437146221,37.3848876404877,37.333684985354,37.283895631783,37.2354805696628,37.1884018656429
8,39.9666666666667,39.8753214963324,39.7861785389393,39.6991847020049,39.6142881730375,39.531438388677,39.4505860045799,39.3716828660304,39.2946819792603,39.2195374834597,39.1462046234632,39.0746397230939,39.0048001591505,38.9366443360219,38.8701316609125,38.8052225196663,38.7418782531729,31.6,31.7103642527206,31.8180677672249,31.9231746904418,32.0257476228012,32.1258476555183,32.2235344069788,32.3188660582468,32.4118993877168,32.5026898049304,32.5912913835772,32.6777568937009,32.762137833128,32.8444844581398,32.9248458134039,33.0032697611852,33.0798030098517,33.1544911416936,33.2273786400713,33.2985089159097,33.3679243335528,33.4356662359954,33.5017749695067,33.56628990766,40.4,40.2982077280733,40.1988695350838,40.1019262563886,40.007320153727,39.9149948808326,39.824895449874,39.7369681987045,39.651160758902,39.5674220245788,39.4857021219434,39.4059523795963,39.3281252995422,39.2521745289003,39.1780548322974,39.1057220649263,39.0351331462533,38.9662460343604,38.8990197009052,38.8334141066853,38.7693901777912,33.1,33.1742012087466,33.24661352311,33.3172800710009,33.3862429405727,33.4535432052878,33.5192209483814,33.5833152867339,33.6458643941688,33.7069055241887,33.7664750321624,33.8246083969785,33.8813402421759,33.9367043565649,33.9907337143517,42.2,42.0548120753045,41.9131244421459,41.7748527130596,41.6399145350528,41.508229540556,41.3797192995571,41.254307272889,41.1319187666444,41.0124808876887,40.8959225002455,40.7821741835294,40.6711681903996,40.5628384070104,40.4571203134347,40.353950945237,40.2532688559718,40.1550140805877,40.0591280997121
9,42.1666666666667,42.0398308883944,41.9157932419129,41.7944919974672,41.6758667871262,41.5598585747392,41.4464096265559,41.3354634824935,41.2269649280387,41.1208599667687,43.3,43.1481616863804,42.9996730869991,42.8544603036073,42.7124510682298,42.5735747071998,42.4377621059865,42.3049456747989,42.1750593149484,42.0480383859538,41.9238196733713,41.8023413573348,35.8,35.8136196408846,35.8269388180464,35.8399641600336,35.8527021491619,35.8651591247401,35.8773412862252,35.8892546963075,35.900905283928,35.912298847229,35.9234410564396,40.2,40.1165509742422,40.0349429224987,39.9551352309302,39.8770881816817,39.8007629331165,39.7261215004852,39.6531267370224,39.58174231546,39.5119327099476,39.4436631783729,39.3768997450714,39.3116091839179,39.2477590017907,39.1853174224007,42,41.8768410651612,41.7563991470473,41.6386143053878,41.523427922258,41.4107826729068,41.3006224972279,41.1928925718604,41.0875392829049,40.9845101992415,40.8837540464365,40.7852206812244,41.9,41.7790471712212,41.660762690128,41.5450876901402,41.4319646033371,41.3213371318073,41.2131502196311,41.1073500254805,41.0038838958246,40.9027003387252,40.8037489982107,40.7069806292159,39.2,39.1386120348427,39.078578353305,39.0198690784537,38.9624549924727,38.9063075221218,38.851398724517,38.7977012732236,38.7451884446573,38.6938341047843,38.6436126961153,38.5944992249864,38.5464692491204,38.4994988654627,38.4535646982852,42.5,42.3658105348609,42.2345814316442,42.1062473816261,41.9807445168625,41.8580103784041,41.737983885212,41.6206053037598,41.5058162183062
