"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,36.5,36.453141958308,37.3,37.2354202038664,37.4,37.5,37.430989765256,37.7,37.6265593266456,38,38.2,38.1154832301196,34.7,34.6930159058017,29.2,29.6,29.7059920903669,27.3,27.4569421343866,29,28.6,28.728144283419,27.4,27.5547269150814,27.6,28.2,28.3370051606398,30.2,30.2927007745357,33,34.7,34.6930159058017,36.6,36.5509267390028,37.6,37.4,37.3332049845612,37.9,37.8221288880352,38,38,37.91991366873,37.9,37.8221288880352,37.9,37.8,37.7243441073404,38,37.91991366873,38.1,38.2,38.1154832301196,38.3,38.2132680108144,38.3,38.3,38.2132680108144,38.4,38.3110527915092,38.5,34.9,34.8885854671912,30.6,30.6838398973149,30.7,32.3,32.3461811691265,32.5,32.5417507305161,33.9,35.1,35.0841550285808,34.6,34.5952311251068,34,34.6,34.5952311251068,36.4,36.3553571776132,38.5,39.1,38.9955462563728,40.5,40.3645331860999,41.3,40.8,40.6578875281843,40.6,40.4623179667947,40.9,41,40.8534570895739,40.7,40.5601027474895,41,41.5
1,37.2,37.1805529470119,37.9,37.8669964951364,37.8346321480233,38.1,38.0631232231719,38.4,38.3573133152253,38.3154533161475,38.8,38.7495667712964,37.1,37.0824895829941,37.0653182790246,32.2,32.2773847461228,31,31.1006243779094,31.1993000279093,32.1,32.179321382105,31.5,31.5909411979983,31.6801211960336,32.7,32.7677015662117,34.7,34.7289688465674,34.7573766720284,37.6,37.572806403083,39.1,39.0437568633498,38.9886029515214,38.3,38.2592499512075,38.6,38.5534400432608,38.5077817833972,39,38.945693499332,38.9,38.8476301353142,38.7962744842717,38.9,38.8476301353142,39,38.945693499332,38.8924387178966,39,38.945693499332,39.1,39.0437568633498,38.9886029515214,39.2,39.1418202273675,39.1,39.0437568633498,38.9886029515214,36.6,36.5921727629052,33,33.0618916582651,33.1225847004062,35.5,35.5134757587096,36.4,36.3960460348696,36.3921686436507,38.3,38.2592499512075,38.1,38.0631232231719,38.026960615273,39,38.945693499332,40,39.9263271395098,39.854081054145,41.9,41.7895310558477,41.9,41.7895310558477,41.6812014930169,41.5,41.3972775997765,41.4,41.2992142357587,41.2003803248927,41.9,41.7895310558477,41.5,41.3972775997765,41.2965445585176,42.1
2,36.4,36.3485967383511,37.3,37.2249059036793,37.1517885204928,37.8,37.7117443288617,38,37.9064796989346,37.8154211467481,38.5,38.393318124117,34.3,34.3038753525852,34.3076486936844,29.2,29.3381234157252,28.2,28.3644465653605,28.524564379174,29.9,30.0196972109805,29.3,29.4354911007617,29.5674156490038,31.1,31.1881094314182,32.1,32.1617862817829,32.2219461540249,35.8,35.7643906281323,37.3,37.2249059036793,37.1517885204928,37.5,37.4196412737523,38,37.9064796989346,37.8154211467481,38.1,38.0038473839711,38,37.9064796989346,37.8154211467481,37.8,37.7117443288617,37.9,37.8091120138981,37.7206164858545,38.6,38.4906858091534,38.7,38.5880534941899,38.4790537730034,38.6,38.4906858091534,38.7,38.5880534941899,38.4790537730034,34.6,34.5959784076946,30.5,30.6039033211993,30.7050715797271,33.3,33.3301985022205,34.5,34.4986107226581,34.4972580154716,36.2,36.1538613682781,35.9,35.8617583131687,35.8245232679822,36.3,36.2512290533146,37.7,37.6143766438252,37.5310071640673,39.9,39.7564657146275,40.8,40.6327748799558,40.4699516517693,40.9,40.7301425649922,40.8,40.6327748799558,40.4699516517693,40.8,40.6327748799558,40.8,40.6327748799558,40.4699516517693,41.6
3,36.2,36.158685406548,37,36.9302708324246,36.8630183206,37.4,37.3160635453629,37.6,37.5089599018321,37.4211533856861,38,37.8947526147704,35.3,35.2906518024368,35.2816356361894,28.9,29.117968395424,28.3,28.5392793260166,28.7700598768515,32.1,32.2043100989304,32.7,32.7829991683379,32.8630503541496,34,34.0368254853874,35.7,35.6764445153751,35.6537256795801,39.1,38.9556825753507,38.9,38.7627862188815,38.630446026706,38.1,37.9912007930049,38.3,38.1840971494741,38.0723109616199,38.4,38.2805453277087,38.4,38.2805453277087,38.1653334724676,38.3,38.1840971494741,38.3,38.1840971494741,38.0723109616199,38.6,38.4734416841778,38.7,38.5698898624124,38.4444010050106,38.7,38.5698898624124,38.8,38.666338040647,38.5374235158583,35.7,35.6764445153751,29.9,30.0824501777698,30.2584200504144,34.7,34.7119627330294,38,37.8947526147704,37.7932434290769,38.9,38.7627862188815,38.5,38.3769935059432,38.2583559833153,39.6,39.4379234665236,40.6,40.4024052488693,40.2118287111166,42.2,41.9455761006225,41.8,41.5597833876842,41.3280988412888,41.3,41.0775424965113,41.1,40.8846461400422,40.6769412653551,41.2,40.9810943182768,40.9,40.691749783573,40.4908962436597,41.4
4,36,35.980971436403,36.8,36.7612406485868,36.7234372378469,37.1,37.0538416031558,37.3,37.2489089062017,37.1990778968172,37.6,37.5415098607707,35.9,35.88343778488,35.8672840517004,31,31.104288860254,30.4,30.5190869511161,30.6352368030271,30.5,30.6166206026391,31.1,31.201822511777,31.3011337255855,33.2,33.2500291937596,34.6,34.6155003150813,34.6306183383776,38,37.9316444668626,38.6,38.5168463760005,38.43574361014,38.4,38.3217790729545,38.7,38.6143800275234,38.5308717419341,38.7,38.6143800275234,38.5,38.4193127244775,38.3406154783459,38.4,38.3217790729545,38.5,38.4193127244775,38.3406154783459,38.7,38.6143800275234,38.9,38.8094473305694,38.7211280055222,39,38.9069809820924,38.9,38.8094473305694,38.7211280055222,36.7,36.6637069970638,31.8,31.8845580724379,31.9670306481439,33.4,33.4450964968055,36,35.980971436403,35.9624121834945,38,37.9316444668626,37.8,37.7365771638166,37.6747185557875,38.4,38.3217790729545,39.6,39.4921828912302,39.3870249280806,41.3,41.1502549671209,41.7,41.5403895732128,41.3847156957558,41.5,41.3453222701668,41.2,41.0527213155979,40.9090750367856,41.4,41.2477886186439,41.4,41.2477886186439,41.0993313003737,41.9
5,35.7,35.6657065559804,36.5,36.441046101854,36.383909491084,36.8,36.7317984315566,37.1,37.0225507612592,36.9474889392673,37.4,37.3133030909618,34.1,34.1150274642333,34.1295916983511,29.5,29.6568250754602,28.9,29.0753204160551,29.2452364807632,31,31.1105867239732,32.4,32.4674309292519,32.532783261832,34.1,34.1150274642333,35.3,35.2780367830436,35.2567505947176,39,38.8639821827089,38.6,38.4763124097721,38.3564375597253,38,37.894807750367,38.4,38.2824775233037,38.1685777436642,38.6,38.4763124097721,38.4,38.2824775233037,38.1685777436642,38.3,38.1855600800695,38.4,38.2824775233037,38.1685777436642,38.7,38.5732298530063,38.7,38.5732298530063,38.4503674677559,38.8,38.6701472962405,38.7,38.5732298530063,38.4503674677559,36.1,36.0533763289172,30.6,30.7229169510364,30.8420449172823,33.3,33.3396879183597,37.2,37.1194682044934,37.0414188472978,38.5,38.3793949665379,38.4,38.2824775233037,38.1685777436642,39.6,39.4454868421141,40.9,40.7054136041587,40.5168254444277,41.9,41.6745880365006,41.4,41.1900008203297,40.9864749845804,41.2,40.9961659338613,41,40.8023310473929,40.6107553524582,41.1,40.8992484906271,41,40.8023310473929,40.6107553524582,41.5
6,36.6,36.5513843999002,37.6,37.5219327952962,37.4461647950379,38,37.9101521534546,38.3,38.2013166720734,38.105539726502,38.8,38.6865908697714,34.7,34.7073424486478,34.7144686504012,30.7,30.8251488670638,29.8,29.9516553112074,30.0988441301529,28.9,29.0781617553509,28.7,28.8840520762717,29.0626835235666,33.8,33.8338488927914,35.6,35.5808360045042,35.5622364194264,38.4,38.298371511613,39.4,39.268919907009,39.1417003330883,38.8,38.6865908697714,39.3,39.1718650674694,39.0475039143077,39.5,39.3659747465486,39.3,39.1718650674694,39.0475039143077,39.1,38.9777553883902,39.2,39.0748102279298,38.9533074955271,39.4,39.268919907009,39.5,39.3659747465486,39.2358967518689,39.6,39.4630295860882,39.5,39.3659747465486,39.2358967518689,36.8,36.7454940789794,31,31.1163133856826,31.2292011555198,30.5,30.6310391879846,34.2,34.2220682509498,34.2434865564983,37.9,37.813097313915,38,37.9101521534546,37.8229504701602,39.1,38.9777553883902,40.2,40.0453586233258,39.8952716833329,41.5,41.3070715373407,41.1,40.9188521791823,40.7430394523581,41.8,41.5982360559595,41.6,41.4041263768803,41.214021546261,41.9,41.6952908954991,41.8,41.5982360559595,41.4024143838221,42.3
7,37.5,37.4456200003096,38.3,38.2235383085072,38.1491871213972,38.7,38.612497462606,39,38.9042168281801,38.8110774744602,39.4,39.2931759822789,36.5,36.4732221150626,36.447183356378,31.1,31.2222735347286,30.1,30.2498756494816,30.3956144140876,28.9,29.0829981871852,28.6,28.7912788216111,28.9772779432382,33.9,33.9449876134203,35.9,35.8897833839143,35.8798487680383,38.3,38.2235383085072,38.7,38.612497462606,38.5274101802904,39.8,39.6821351363777,40.6,40.4600534445754,40.3239697100328,40.8,40.6545330216248,40.6,40.4600534445754,40.3239697100328,40.4,40.265573867526,40.5,40.3628136560507,40.2294139453095,40.8,40.6545330216248,40.9,40.7517728101495,40.6076370042027,41,40.8490125986742,40.9,40.7517728101495,40.6076370042027,38,37.9318189429331,31.1,31.2222735347286,31.3411720613204,30.2,30.3471154380063,34.5,34.5284263445685,34.5560680619122,38.1,38.0290587314578,38.5,38.4180178855566,38.3382986508438,39.6,39.4876555593283,40.5,40.3628136560507,40.2294139453095,42.3,42.1131298494953,42.6,42.4048492150694,42.2150850044986,43.2,42.9882879462176,43,42.7938083691682,42.5933080633917,43.2,42.9882879462176,43.2,42.9882879462176,42.7824195928383,43.7
8,37.8,37.7608903376282,38.6,38.541603380842,38.4846146280218,38.9,38.8343707720473,39,38.931959902449,38.8655601629245,39.1,39.0295490328507,36.6,36.5898207728073,36.5798869535084,32.4,32.4910772959344,31.6,31.7103642527206,31.8180677672249,30.7,30.8320620791049,30.4,30.5392946878997,30.6752311625169,35.5,35.5163403383882,37,36.9801772944143,36.9608324884111,39,38.931959902449,39,38.931959902449,38.8655601629245,40,39.9078512064663,40.5,40.395796858475,40.2941059188095,40.5,40.395796858475,40.3,40.2006185976715,40.1036331513582,40.2,40.1030294672698,40.3,40.2006185976715,40.1036331513582,40.5,40.395796858475,40.6,40.4933859888768,40.3893423025352,40.8,40.6885642496802,40.9,40.786153380082,40.6750514537122,37.7,37.6633012072264,33.1,33.1742012087466,33.24661352311,32.9,32.9790229479431,36.5,36.4922316424056,36.4846505697827,39.9,39.8102620760646,39.7,39.6150838152611,39.5322148490041,41.3,41.1765099016889,42.2,42.0548120753045,41.9131244421459,43.3,43.1282925097236,43.2,43.0307033793219,42.8654882794026,43.2,43.0307033793219,43,42.8355251185184,42.6750155119512,43.1,42.9331142489201,43.1,42.9331142489201,42.7702518956769,43.6
9,41.6,41.4856654894014,42.5,42.3658105348609,42.2345814316442,42.4,42.2680166409209,42.9,42.7569861106207,42.6171272593216,43.3,43.1481616863804,38.9,38.8452303530229,38.7916689825469,38.7,38.649642565143,38.9,38.8452303530229,38.7916689825469,36.8,36.7915585802841,35.8,35.8136196408846,35.8269388180464,35.9,35.9114135348246,36.5,36.4981768984643,36.496394016482,38.7,38.649642565143,39.7,39.6275815045425,39.5567606379018,40.9,40.8011082318218,40.2,40.1165509742422,40.0349429224987,40.8,40.7033143378818,40.9,40.8011082318218,40.7043981209343,41.8,41.6812532772813,42,41.8768410651612,41.7563991470473,42.2,42.0724288530411,42.4,42.2680166409209,42.1389449747248,42.8,42.6591922166807,42.6,42.4636044288008,42.3302178885635,41.9,41.7790471712212,39.6,39.5297876106025,39.4611241809824,39,38.9430242469629,38.7,38.649642565143,38.6003960687081,39.3,39.2364059287827,39.2,39.1386120348427,39.078578353305,40.2,40.1165509742422,40.3,40.2143448681821,40.130579379418,41.7,41.5834593833413,43,42.8547800045606,42.712763716241,43.2,43.0503677924405,42.5,42.3658105348609,42.2345814316442,44.5,44.3216884136598,43.4,43.2459555803204,43.0953095439185,44.8
