"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,18.9666666666667,19.0974217311234,19.335341115219,19.5555552892715,19.8326004341285,19,19.2260273972603,19.52068012497,19.5506376171593,19.6506376171593,19.5005667708083,19.4230599879572,17.3364689600003,18.2814701133334,19.0831729188992,19.3927664093549,19.27926270615,18.0784667365219,17.0519736525365,24.6,24.7893309222423,25.1,23.3666666666667,23.5340796019901,21.5050471327573,23.5318421911152,23.7394537510635,23.7089526109855,23.7128745347376,23.9035890554773,24.0670773387011,24.3447182258008,24.41284029712,24.3134534741831,25.8220852679571,27.1493881177267,21.5,21.7368131868132,21.9368131868132,22.1333660387232,22.3333660387232,22.3536385926298,22.5485897527259,22.3988007346016,22.7317347368412,22.6706994612507,23.059050341612,22.9214775625762,0,0.497513812154704,-2.34124330162434,-3.51055376967718,-6.02171960996773,19.6,19.8671232876712,20.2461307378034,20.2307475666907,20.3307475666907,20.1051089481695,19.9910639018516,18.0137043957974,18.4789971154409,19.21364947075,19.4925494610834,19.3718154748625,18.1948588547514,17.1886271687297,24.3,24.4391500904159,23.6,24.1166666666667,24.043407960199,23.1536626080126,23.9372394391288,24.1009485321263,24.0695391137039,24.1797878267192,24.3768119865397,24.4072938246425,24.5715292164283,24.5515921819394,24.435424896398,25.9949000691946,27.3416933100812,21.6,21.8472527472527,22.0472527472527,22.2477498691784,22.4477498691784,22.4597679198563,22.6564308432948,22.4905081187074,22.8305936142029,22.7621633832193,23.1568076527068,23.0093121390862
1,19.3666666666667,19.498233995585,19.7729501734469,20.1513584342279,20.2513584342279,19.4,19.5,19.5754385964912,19.9066095471236,19.7487223260109,19.6272957538041,19.5515365332943,17.7515365332943,18.1171980962618,18.4689094295319,18.0837652519192,18.1276417150987,16.9984588924864,15.9982387342702,23.9,24.2223880597015,29.5231343283583,22.6244428542221,22.7585194167526,21.7430572397444,22.030755171246,22.6389960349576,22.5969473863698,22.1958026562584,22.4207476798024,22.613844114112,23.1293679793049,23.2625053066569,23.2146640417954,23.8596993133005,24.8259201490796,21.9,22.075,22.1738095238095,22.3592224231465,22.4188862064466,22.5188862064466,22.6389657631289,22.6439991594998,22.7401645888325,23.0705364271211,23.0765614047267,20.6,0,0.388079470198634,-2.40847918637661,-6.24173472809384,-6.14173472809384,19.9,20,20.0491228070176,20.4518971848225,20.2222615903283,20.0456968846052,19.9400518690381,18.1400518690381,18.2777137374562,18.5958465213798,18.2025421021482,18.2384410156855,17.1309182067218,16.149620807682,23.1,23.4343283582089,25.1888059701493,22.9213146595788,22.9382834998957,22.0801148956378,22.2715106397413,22.8209844205918,22.7686732690547,22.4319257449502,22.6406979542002,22.8072069927035,23.2549163886274,23.3452321925063,23.2853675502682,23.9472628891783,24.9411353804978,22,22.18125,22.264880952381,22.4525994575045,22.5031180673366,22.6031180673365,22.7171810625268,22.7167575775443,22.8115553674401,23.1483013823901,23.1488154576538,20.7
2,19.2333333333333,19.3918200408998,19.5630857277368,19.8960072278112,20.2295154137762,19.1,19.1780701754386,19.2549630655586,19.5528063196547,19.5776058682508,19.3797899794335,19.3797899794335,16.7874982239651,18.3803421260524,19.2579515411909,18.4900262150139,18.5835583517935,17.2764564471297,19.1086555029,24.7,23.0642857142856,23.895918367347,23.7213725996728,23.6166194067821,22.7577259732459,22.9485896041496,23.4561641965503,23.6646054359877,23.5807567949847,23.9512726959212,23.9472567093213,24.2960287210049,24.1767760178655,24.0363253604712,21.6,22.2869047619048,22.5727678571428,22.7417563600783,22.9417563600783,23.170926373514,22.9735911422784,22.9844810216492,22.882701309979,22.8901095677366,23.0879918136669,23.4401151783452,20.6,20.8348837209302,0,1.10245398773004,-0.239429315443399,-3.07875537083006,-6.99400465173691,19.7,19.730701754386,19.7930517082179,20.1722339431811,20.1527886615253,19.8605397767973,19.8605397767973,17.2935506422427,18.5558280452939,19.376609118709,18.6150310032165,18.7024237506711,17.4169548833764,19.2172603772094,23.4,24.4571428571429,23.4979591836735,23.5425428399208,23.4834393983485,22.5254474546,22.786605900357,23.3313731256527,23.5552418326461,23.4440522908077,23.8484307753477,23.8359388062829,24.1910563010388,24.1051121542348,23.9765917611647,21.8,22.4654761904762,22.7736607142857,22.9288894324853,23.1288894324853,23.3650420232497,23.138909415405,23.1393665882192,23.0158583258431,23.0155844480701,23.2151286129452,23.5776003217509,20.6,20.8348837209302
3,19.4666666666667,19.597619047619,19.7953853706431,20.0422167512951,20.3339620014801,20.7674525018501,19.3,19.43,19.63,19.5282258064516,19.2973930982746,19.2223661178453,17.3892276006578,13.0972906602442,18.1056955835264,18.8489817332568,18.7404153718067,16.7436269483813,22.1710326564121,23.2099472660575,23.6769005592101,23.5041731162726,23.3148026645843,23.2137453313997,23.4,23.3539808917197,23.640392589697,23.6791835378154,22.4,22.8357142857143,22.984930875576,21.4,21.7075019638649,21.8500857669629,21.5,21.8335164835165,21.9832909627686,22.1832909627686,22.3832909627686,22.4515587050447,22.3724255144307,22.3311095671517,22.3659018208844,22.5659018208844,22.6659018208844,20.9,21.076821192053,21.3465583772227,0,0.478571428571367,-0.703387334315147,-4.58690567779656,-7.81360648891054,-14.4170081111387,19.8,19.98,20.18,20.0161290322581,19.6945236309077,19.5567918295363,17.5758838118342,13.3536865547173,18.2269370530059,18.9423704327208,18.8298206670281,16.8620152788668,22.2123309112326,23.2482636974252,23.715470741779,23.5267379849864,23.3307376491914,23.2285421028206,22.3,22.8372611464968,23.1926931714533,23.2516871619112,22.2,22.6619047619048,22.8133640552995,21.9,22.1519245875884,22.2531970900467,21.7,22.1071428571428,22.2916311300639,22.4916311300639,22.691631130064,22.7387796827993,22.613635364681,22.5423948871078,22.5551512485751,22.7551512485751,22.8551512485751,21.1,21.2668874172185,21.5523387391146
4,19.1,19.2308270676692,19.3996509129968,19.6192133500171,19.9809154601098,19.2,19.25,19.6451612903226,19.6497311827957,19.3247828784119,19.2341850186104,19.0142352058925,17.5087555938986,17.3333357912485,17.7039702520694,17.4282979968829,17.9625236530038,16.4812790286865,12.6660744723255,23.8,24.1011627906977,22.2541251384275,22.4682149683703,22.5252829789689,23.6,23.1526315789474,23.2407202216067,23.4446377931397,23.5299612996973,23.6331012845845,23.9034685429148,24.2681427371302,24.029900767547,23.760270920136,25.0309310380391,21.3,21.4458904109589,21.5759458577952,21.7083512720157,21.8088007528076,21.801510857027,21.8025594550424,22.078298921262,22.0081432972459,20.6,20.7564102564103,20.9313295975548,21.1646629308881,0,0.489849624060094,-1.01462808807742,-2.26826104288713,-8.24240678337198,19.4,19.4230769230769,19.8684863523573,19.8544458229942,19.4901293185722,19.3788631537507,19.1387682842411,17.5965673799136,17.3827846209148,17.7441684503355,17.4668554523626,17.9963404377279,16.5227814463024,12.7301195700133,22.6,22.803488372093,22.9647563676633,22.8332652573613,22.8193813571917,22.3,23.0105263157895,23.1023545706371,23.3403503292042,23.4375806721953,23.5417948504256,23.8087753715839,24.1849911157675,23.9667418857469,23.710420254408,24.9668027544568,21.6,21.772602739726,21.8793215916504,21.9813894324853,22.0670800937924,22.0255286527791,22.0096456732086,22.2933499939731,22.1942451870921,20.6,20.7564102564103,20.9313295975548,21.1646629308881
5,19.1,19.2308270676692,19.5097821874273,19.7796636729537,20.0278170585363,20.2517978015402,19.9876531721353,18.9,18.975,18.65,18.4027027027027,18.3440748440748,16.6669141669142,18.1994563766716,18.432880313893,17.8997859412022,18.7703475137964,17.4030022517804,16.9433024769585,22.1705608320452,23.0062674036961,22.9919066968613,22.8873982443649,22.9017996499843,22.5,22.5315789473684,22.7684210526316,23.0983937115516,22,22.0333333333333,22.2061224489796,22.9233730103531,23.0281206993885,22.9374277692215,21.2,21.8520710059171,22.1188399109712,22.3537345460162,22.4268551684113,22.3670873699952,22.4306713477165,22.3675670237795,20.7,20.8269230769231,20.9511875221553,21.1075112465506,21.3585202157884,20.3,0,0.489849624060094,-2.41909348112567,-6.56771679448674,-10.3730065577411,-13.3491125111881,-5.48400464557818,19.2,19.2,18.8,18.4756756756757,18.3917879417879,16.703267003267,18.2125710075077,18.4438091729231,17.9108484048659,18.7794895497717,17.4142220232046,16.9556442255251,22.1740758870167,23.0078586785819,22.9929209160192,22.8881420050808,22.9023990505612,21.9,22.1421052631579,22.4178947368421,22.8138755980861,21.8,21.8333333333333,22.0102040816327,22.7612205154701,22.878923687344,22.8008231199118,21.5,22.2656804733728,22.6292112263178,22.8877828811469,22.9176022871801,22.8098667252753,22.8508599195639,22.7429814035448,20.9,21.0173076923077,21.1371853952499,21.3104647268611,21.5650342834727,20.3
6,18.6,18.7274725274725,18.9066987806714,19.1144214593386,19.6593727469358,20.0350301673434,19.8144890660321,18.2,18.1785714285714,18.2119047619048,17.9824404761905,18.011858974359,15.8627060439561,18.0979385038039,18.2952192714291,18.2598104787816,18.483317109583,17.7535540459817,16.8820206987566,18.638606281716,19.0310501964679,20.8943690216681,21.6131313393139,21.6585695623939,23.1813635699331,22.9366085940662,22.8102245255471,22.7757826131989,22.1,21.9634121274409,21.9425303713074,21.6,22.3893697798026,22.4293955633853,23.6888502375127,21.2,21.4333333333333,21.6333333333333,21.8445945945946,21.8928673033936,21.82687769077,21.9134281489961,22.0721510672551,20.2,20.3730769230769,20.5523586910327,20.705566710322,21.0030033998124,0,0.945054945054984,-0.946274273671527,-2.82833823230354,-10.9037568235657,-16.962442470632,-10.5762920294478,18.7,18.5714285714286,18.6047619047619,18.2279761904762,18.276282051282,16.1460164835165,18.1720350803043,18.352655529394,18.309516734655,18.5267173479202,17.800054301343,16.9338735014976,18.6804443118818,19.0732552268983,20.9217925667865,21.6292519367821,21.6721639919229,23.1796875443748,22.9359882469439,22.809593927891,22.7752161219435,21.9,21.750668036999,21.705669541868,21.9,22.5909643128322,22.5891383049156,23.8957756806918,21.4,21.6897435897436,21.8897435897436,22.1044698544698,22.1273412220781,22.0327239798476,22.1125253794154,22.2627441446163,20.3,20.475,20.6616022099448,20.8097939452024,21.1146313850984
7,18.8,18.9771844660194,19.1616447064263,19.4219909604107,19.6514514558428,18.8,18.8166666666667,19.8916666666667,18.6690476190476,18.5389097744361,18.2773616734143,18.1580212550607,17.2227940644882,17.7891513738634,18.0592761608664,18.2888200705412,18.3593195908306,17.9188481043006,17.3169893486882,18.2685215972487,18.6800572499345,19.6029103035106,20.9517697791619,21.2710092048971,22.697128269885,22.8402037316661,22.7103652143009,22.6,22.8304157549234,22.5,22.4758861439313,23.4611131534646,23.7900930075821,23.6115152994556,25.0236646806617,21,21.1748466257669,21.4453319978298,21.6370211556185,21.7279570072468,21.7180878187718,20.3,20.6046511627907,20.7292039355993,20.912516925449,21.0941243100982,21.2730201373798,19.7,0,-1.00922330097085,-2.96616389274148,-7.36430365963457,-10.2255694665153,18.9,18.8952380952381,20.0880952380953,18.7251700680272,18.5876476906552,18.3036051667631,18.1777038750723,17.2305265223498,17.7927006987835,18.0620624101653,18.2911132207374,18.3613957920962,17.9209857378002,17.3192133276458,18.2705370781791,18.6820928187146,19.6048004745207,20.9529192074788,21.2719749519179,22.6973623498416,22.8403324630708,22.7104937374024,22.4,22.6481400437637,22.3,22.2547261009667,23.2564360948889,23.6505102369287,23.5077549540085,24.8996380206203,21.4,21.6386503067485,21.9327991319227,22.1483118714528,22.2334812864364,22.1833633496182,20.5,20.7767441860465,20.8847495527728,21.0792343272814,21.2632233890997,21.4436025416356,19.8
8,18.8,18.9290322580645,19.2052463665367,19.4401038201745,19.6793465686562,18.8,18.82,19.4714285714286,18.8190476190476,18.5392857142857,18.3395604395604,18.2453464902444,16.9302309934963,17.5485457782014,18.2274026591905,17.8343729484195,18.1444644186849,16.9721388234185,16.2267991095,18.7000946020238,18.292416848489,20.5954501090935,21.3274292078765,21.5594922958981,23.260058317363,23.2116004327127,23.1326927774487,23.2108540185091,23.2854017677379,22.2,22.2807692307692,22.8248807024241,23.0493295238828,23.0109217028184,23.9923104969433,21,21.0216417910448,21.2464270374745,21.3736592442464,21.4736592442464,20.5,20.6592356687898,20.8820619167531,20.9895559632191,21.1985824376581,21.3671133644484,19.9,20.184496124031,0,0.735483870967773,-1.98723856788362,-4.21999922304819,-6.710768364169,19,18.98,19.7571428571429,18.9619047619048,18.6464285714286,18.4054945054945,18.3005158107199,16.9670105404799,17.56578619085,18.239776522098,17.8458942814023,18.1547377579851,16.9840769255903,16.2396110926,18.7092460185239,18.3029761752198,20.601785705132,21.3313637340788,21.5627378267286,23.2596855199028,23.21146308628,23.1325436730707,23.2107290497319,23.2852820059931,21.6,21.6269230769231,22.1775243367055,22.6169534437946,22.6854287314002,23.6113482508683,21.3,21.3686567164179,21.6620959948459,21.7720086617273,21.8720086617273,20.6,20.7636942675159,20.9816619760036,21.0795790936955,21.2928923838715,21.4641178805535,20,20.2972868217054
9,17.8333333333333,18.0209176788124,17.7,17.9631578947368,18.1513373597929,18.4213854307901,18.5244090680674,18.8336564232364,18.4701584872112,18.3172512382208,17.8958533079325,17.8141185795456,15.2159508987108,16.3617958630504,17.5784032143558,16.3443789430369,15.9168241775989,15.1447338365294,15.3367799215501,18.2100504682735,18.988852137525,22.4,22.2,22.3446654611212,22.4485384314237,22.2545663262745,22.330567944668,22.6,22.7442020665901,22.9492839948526,22.4,22.5172509225092,23.5458812449192,21.1,21.7440422805894,22.880484844398,22,22.3964856230032,22.7856240646195,20.7,21.0696202531646,20,20.3868556701031,20.4786586149988,19.6,19.758064516129,20.2521329102767,20.8431832855755,0,-2.05060728744939,18.8,19.1934210526316,19.5026100086281,19.9243315402088,19.9695495578931,20.4132285865343,19.7314586474565,19.4789750700257,18.7831541873425,18.6911020068695,15.8483908703386,16.6492685774267,17.78486987176,16.5748192170592,16.1550495960139,15.4055279787941,15.5818871981148,18.3808669587716,19.1402027912084,22.2,22.0111111111111,22.154068716094,22.2766083779199,22.0807469315234,22.1595520885418,22.4,22.5667049368542,22.8059724905567,22.8,22.895479704797,23.826732444326,21.7,22.4703074951954,23.9762534138036,21.5,21.864536741214,22.2439551866515,21.1,21.4435804701627,20.1,20.498969072165,20.5791178172622,20.1,20.241935483871,20.7161731006522,21.3207130163688
