"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,20.1,20.2088397790055,20.6306027499689,20.9338465159925,21.3774982926509,21.5540756126266,21.9550396956832,22.6087729889748,22.4457246771639,18.4,18.3,18.2950549450549,15.991539870386,17.8891991288626,18.8240581401661,19.1946061805385,19.0954611736454,17.8473223850389,16.7805919743024,24.6,24.9,27.75,22.0416666666667,22.6342661691542,18.592493126473,22.8156403862911,23.1008129711859,23.0719164561829,22.8879943855701,23.6,23,23.6333333333333,23.9776497695853,23.9308942920361,25.2800575714378,26.5462294779909,27.2725003365668,28.1119371848897,28.3119371848897,21.1,21,21.1164948453608,21.2914920740494,21.3297727873806,21.5793422249287,21.6045095388119,21.9194987272623,21.8975947211116,0,20.1,20,20.2628205128205,20.6253592561285,20.7750744676569,21.1226823079074,21.6668948922811,21.5627139615136,21.6627139615136,21.2890790769009,19.1,21.1,19.3791666666667,19.8082568807339,19.9472805304361,19.7935967168588,18.7252807196861,17.8113842248919,18.5263533463406,17.699748797582,23.6,23,23.2850746268657,20.6990573448547,23.3336479809752,23.5627229692106,23.5326658763231,23.4846058142133,23.6722356225134,23.9007492789076,22.9,22.5,22.6319494584838,23.4396519325385,24.4982592933511,25.0584785153346,25.6667812174849,25.8667812174849,26.2036900704903,26.4036900704903,20.9,20.8,20.911811023622,21.1287871126201,21.1876573679753,21.4739640676066,21.4972835043533
1,20.5,20.6165562913907,21.0710028382214,21.6958767948457,21.7958767948457,22.6256945167332,22.7256945167332,22.6313597176069,23.424472233059,22.8037083427443,18.7,18.6904761904762,16.8904761904762,17.7614498404821,18.18758077718,17.8205220129327,17.8820789921636,16.7048914267219,15.6627330591107,12.3373190445365,23.8,27.2000000000001,22.7835616438356,22.8548702416191,21.9237150363691,22.1597964545493,22.7365390522578,22.6889898575816,22.3223610541747,22.5386376942997,22.4,22.9905213270142,23.1710158866267,23.1364715301609,23.7628608950454,24.6985011776913,24.7560764878915,25.1095812683848,24.774879182425,25.0261419465371,21.3,21.4,21.6,21.677519379845,21.7918517223291,22.0375527689656,22.1167813128972,22.2757703628464,0,0.388079470198634,20.3,20.7784810126582,20.8784810126582,21.4965920155793,21.5965920155794,21.5616836638822,22.1931009619109,21.7343596072735,21.3817286940978,21.1806528349956,20.9,19.4179900744417,19.4975864455569,19.0463130311997,19.025540762935,18.0718870774937,17.22501380285,14.6156451291562,15.0766056496166,-20.77866892711,22.3,22.5620603015075,21.37469639866,21.7676402847571,22.4401060420211,22.4092729945387,21.9377503674908,22.1803702053339,22.4025232574364,22.9921596505629,22,22.1356489945155,22.5233806778231,23.0676061550304,23.169863520646,23.4242299906863,23.3302923729693,23.5449833191204,23.4885158806498,23.5885158806498,21.1,21.2124031007752,21.3354782304599,21.5404316438938,21.6548892439328,21.8156967665945
2,20.3,20.4061349693252,20.6613187977226,21.1701708381344,21.7393120205291,22.5263074534997,22.3338796720831,22.3277249438703,23.0900554586414,22.8621943544527,18.4,18.4,15.7561403508772,18.0226938313526,19.0161219947747,18.2352607641831,18.3413052559831,16.9901142360349,18.8873138234038,13.5200256958146,24.3,23.5428571428572,23.5627185051236,23.4984648351974,22.5516532361908,22.8048809848874,23.3454521182667,23.567580290459,23.4594753630738,23.8600334535662,22.7,23.1198697068404,23.3738213062724,23.3670427880066,24.6173100321166,24.9809315762947,25.6035480233315,25.5649488436513,25.7649488436512,26.0994618602054,21.2,21.3228155339806,21.4541471677027,21.5439720105917,21.7240246200035,21.9651273991511,22.0390468706403,22.3575961073054,0,1.10245398773004,20,20.4029126213592,20.8301635855832,21.4223414967796,21.3170689224724,21.337672371881,21.9503437769328,21.803890650009,21.2405653194105,21.2405653194106,21.5,20.0145161290323,20.3629241183353,19.654105794799,19.690466219611,18.5848172145696,20.1200144937549,16.1086971035518,32.2692531033386,21.2659276847606,22.7,22.8559718969555,21.4310848439027,22.023431974476,22.7434294667413,23.0399835161827,22.7999793952283,23.3638988722513,23.3114729551291,23.6964867117586,22.3,22.4719862227325,23.0862922230951,23.6139513896682,24.0656953133768,24.1324285110907,24.3324285110907,24.6134892764299,24.2021474606958,24.1355070869625,21,21.1160256410256,21.2904100866021,21.4962186595426,21.6036316124324,21.8968660085041
3,20.7,20.8089285714286,21.0941089837997,21.6026234805355,22.1172839777548,22.9966049721936,22.8548885223746,23.340377374612,23.5403773746121,22.9971089613494,19,18.9719298245614,17.2494492044064,12.90528736869,18.0149033293806,18.7790471591175,18.6734637889814,16.6549712810138,22.1401062608188,23.1812538232145,23.4,23.3421768707483,23.2004032540851,23.1075173073648,21.2983532085795,22.3667423511639,22.7850234570855,22.8624140953036,22.7422070687517,23.1331085240342,21.8,22.5229895931883,22.7056659267027,22.7554654084019,23.6955680957716,24.8373431639952,25.3682001325618,25.5682001325618,25.7682001325618,25.6046247810165,21.4,21.4793233082707,21.6029521656903,21.8029521656903,21.9029521656903,22.1413259060172,22.2564918378375,22.6237608480525,0,0.478571428571367,20.3,20.6485074626866,21.0268656716418,21.6335820895523,21.5798025999037,21.9377828598941,22.1377828598941,21.7528718918415,21.108151539871,20.7472153318212,21.3,18.4692307692307,20.6459153249851,20.8056374800561,20.6136118687425,19.2240684635546,23.0363029524028,24.0127431724459,24.48501299478,23.9769463778985,21.8,21.8071428571429,18.1464522232734,20.8861519201682,21.5022014230098,21.637481142188,21.3418440193356,21.9161263501369,22.0772085907803,22.756400800184,21.8,21.9339856490541,22.2801407406364,22.9008518924092,23.1860345951775,23.3860345951775,23.5860345951775,23.5719226366037,23.3133136705459,23.1552709971323,21.3,21.5,21.6,21.813309352518,21.9447674972605,22.2862640226245
4,20.3,20.4082706766917,20.6822234156821,20.9943426312467,21.7541084806427,22.479898573074,22.0883737651602,23.3075790518196,23.006947464168,22.0363806441357,18.7,18.5544303797468,17.1845342421292,17.1507593157505,17.5555492396747,17.2859349849941,17.8376642901178,16.3280425378718,12.42960521132,9.46257825291908,23.7,22.4738095238095,22.5810665362035,22.6162004883658,20.5981352867962,22.8244925212287,22.921216402249,23.203824825434,23.3166427259422,23.4222631593614,22.3,22.8601108033241,22.9604120309402,22.916134292174,23.9450271234277,26.3612864312488,26.9578393326613,26.6941841422331,26.3147657280098,26.1662198328021,20.9,20.9691860465116,21.2128726893262,21.2592167503784,21.4518676772012,21.6738062164731,21.860876497486,22.0942098308193,0,0.489849624060094,19.9,20.1556701030928,20.6726623259179,21.190482003979,20.9725325034434,21.8677838754108,21.6871352191266,20.9703784462176,20.6740811404404,20.2536394626576,20.4,18.9614617940199,19.0275148597645,18.6978203756925,19.0759572147467,17.8477656726437,14.7747894732521,12.5336528816397,11.9177874185175,28.9259735565259,21.9,22.0675074183976,18.4033630069235,22.5845781424572,22.6876155597609,23.0277577216002,23.1606777717587,23.2681117511569,23.5249408220455,23.9357513589707,21.8,22.0002328288708,22.7668043672367,24.1948768472847,24.5985302651936,24.5033971510131,24.3430574359118,24.301090367304,23.9631906247024,23.8008564495796,20.8,20.9019230769231,21.0689120271993,21.261392439548,21.4430002864294,21.6763336197628
5,19.1,20,20.409793814433,20.8610209262964,21.2755369662394,21.6308566468962,21.0330687484536,23.1606260388316,22.1704695291237,20.7803130194158,19.4390711986347,18.7,16.9380952380953,18.297287522604,18.5144062688366,17.9823085459618,18.8385443137514,17.4866983244525,17.0353681568978,22.1967820700026,23.0181378289877,23.4,23.1866666666667,23.14298160697,22.0852592517111,22.2623612686546,22.5261251417891,22.9017249527509,22.9070307871763,22.9403641205096,23.0946424037646,21.3,21.5344501718213,21.5698243849004,21.9935407011598,22.9461241619541,23.4688412824112,23.7663648470591,23.7249478774778,23.5382988368221,23.5421271274604,20.8,20.997619047619,21.1102335164835,21.2279700714033,21.4095253541555,21.6658328165091,21.991963731974,0,0.489849624060094,-2.41909348112567,19.8,20.0512820512821,20.2777327935223,20.007313569283,21.2800748770189,20.7600561577642,19.8400374385095,18.9816398349505,18.7226106613138,16.9553224086201,24.9,24.0166666666667,23.5518337408313,23.4412079919709,23.13542192954,23.248964122494,23.9664771234951,23.8192835626633,23.5100928201591,23.26740140145,21.7,19.3701754385965,20.4999384425977,20.9399445983379,21.6142407454042,21.5902475243958,21.6235808577292,21.8047322687959,22.5911610793345,22.7224514741987,21.6,22.0372302158273,23.0063588182708,23.5431675326369,23.8441392222953,23.7964162222894,23.6027815539453,23.6033199100366,23.4152612310982,23.5506121541673,20.8,20.9248847926267,21.0788107543855,21.3293162062168,21.6314102209466
6,18.6,19.4,19.6575342465753,19.9442922374429,20.8152641878669,21.4342671747863,20.9638623221459,21.777307021545,20.9893126597854,21.0226459931187,19.7391537456992,17.9,15.7428571428572,18.0665934065934,18.2709219938173,18.238783226297,18.4649574936076,17.7338830288653,16.8600853919001,18.6209075271367,19.0131961896555,24.6,23.7914414414414,23.4955289700039,22.9548891224196,22.8527836362202,22.7250144551786,22.69923497737,22.826177994537,22.7358625121745,22.8025459818408,21.6,22.3893697798026,22.4293955633853,23.6888502375127,27.3538862183942,29.3229310492234,29.5229310492234,29.8408084958346,29.1074963872191,28.1606508980819,20.3,20.5276381909548,20.6393314498761,20.8208570546814,21.0322998265646,21.1634697324877,21.4934202460371,0,0.945054945054984,-0.946274273671527,19.3,19.9178571428571,20.3479323308271,20.0715158431794,20.697098125954,20.1405770989638,20.1739104322972,19.2086940201857,19.3324397140462,17.2776139793352,23.3,22.3276180698152,21.7495128646606,21.5302960584475,21.0181743483366,20.5224246330372,21.5759080584226,21.9941177782334,22.8196802153498,22.7449021085727,21.9,23.151598173516,22.9255915317559,22.7990254187555,22.7657220048157,22.8875924422321,22.8011903162489,22.8752793669438,23.7645251716661,23.8438912505122,21.6,22.6144787644788,25.0735875817508,26.3994712586549,26.599471258655,26.87784249188,26.4341436016962,25.8136958363729,25.7695309455628,25.7635459554257,20.3,20.475,20.6616022099448,20.8097939452024,21.1146313850984
7,18.8,19.6,19.8511904761905,20.2567042606516,20.5824778291884,21.7737167437826,21.1531583939244,25.7328959848111,20.3379702813745,19.9882373496147,19.0577688292797,18.2,17.2392857142857,17.7967213114754,18.0652186242472,18.2937108608495,18.3637476762847,17.9234072113403,17.3217326117984,18.2728201794423,18.6843986751399,25.2,24.3554054054054,24.1307360078365,23.3902753481598,23.2213973987732,23.0909420631765,23.1751601982396,23.3546044257479,23.2878400885837,23.3470798831331,22.1,22.8618602761982,22.9215035708388,24.1988808991415,28.7863398258224,30.2031793072419,30.9342938977475,31.5897293138028,31.5684165771809,30.7750713082971,20.3,20.6046511627907,20.7292039355993,20.912516925449,21.0941243100982,21.2730201373798,21.7136532298806,0,-1.00922330097085,-2.96616389274148,19.2,19.4038461538461,20.0057692307693,19.7640567765568,22.260141941392,19.3457548403977,19.1265765719243,18.5937976412926,18.3953482309694,17.3160296621666,23.6,22.6208401976936,22.0430970011945,21.7584142196246,21.4185177496937,20.958021195915,21.5682067087979,22.0126295885091,22.6974417607585,22.8335794491099,22.4,22.9707756232687,22.9906950796064,22.8606130487333,22.9758704842314,23.1729760540096,23.0961786305105,23.1351406016226,24.0712335958576,24.2061743328371,21.8,22.8583269378358,25.7328558028481,26.662636483057,27.2131111335532,27.6866842340651,27.7093908028539,27.2232928089961,27.8521118171913,27.1029799357227,20.3,20.4524861878453,20.6275217048145,20.8023245267866,21.1688323262805
8,18.8,19.5,19.8703296703297,20.1826283305735,20.5075469841012,21.2257197159227,20.7605757727381,22.9367424513182,20.5517045589924,19.8387784192443,19.1392482579965,18.4,17.0333333333333,17.596875,18.2620897155361,17.8666701485208,18.1732631779589,17.0056043325962,16.2627143271659,18.725748328928,18.3220173026093,24.4,23.6901273885351,23.5084460946902,23.0361920026369,23.1291233693926,23.0431550226036,23.1358097851318,23.213484377418,23.3000479432974,23.4795394253882,21.8,22.3648009950249,22.4956082173152,23.3891792464752,25.5316831694594,26.2635141139269,27.5253604314305,27.3909704134542,27.4909704134542,27.0383220029003,20.4,20.6348837209302,20.76614490161,20.9645327540676,21.126376547041,21.367952739627,21.8402102605871,0,0.735483870967773,-1.98723856788362,19.3,19.5230769230769,19.9303643724696,19.7242914979757,21.0862348178138,19.6264507422402,19.1448380566802,18.7122080348801,18.5571536618384,17.1381024412256,23.2,22.2835886214442,21.6110972794156,21.5120930215197,20.8854812296977,20.4266020641297,21.6999538553307,21.753792909997,22.6722757459982,22.6171776129607,21.6,23.2554054054054,23.2098862019915,23.1308317949659,23.2092942741981,23.2839070127731,23.3689472936948,23.5546220508213,24.086089822029,23.8917042716786,21.4,22.1068616422947,23.3827443272888,23.7778012741027,24.5478698714971,24.5375419601847,24.6375419601847,24.4503287545861,24.7856937309053,24.8165916969097,20.3,20.4761904761905,20.6240816326531,20.8626856659824,21.2703160031041
9,17.8333333333333,18,18.6721649484536,19.0504476397178,19.3455736370671,19.7496686371461,19.8016044587943,20.2296606875194,19.5848783101834,19.3439668646426,18.6800376840184,16.7,14.4125,15.9965909090909,17.3161082474227,16.0516279254409,15.614182922922,14.8134213050936,15.0253959634339,17.9930454259577,18.796576468406,22.4,22.2,22.3446654611212,22.4485384314237,22.2545663262745,22.330567944668,22.3744512400866,22.5440307790895,22.7876653344764,22.6352773113687,21.8,23.0132914704343,23.500299490515,24.6494656549187,27.2641060758422,29.007945034568,29.8522226725596,30.3775955120914,28.6963238047979,28.5453877162396,20,20.3868556701031,20.4786586149988,20.837561795326,20.9557049632187,21.4006897324857,22.0251283874998,0,-2.05060728744939,-13.1607579615175,18.7,18.9606557377049,19.3215456674473,19.3899477571609,19.7797103392223,19.2255895992298,19.0130430519222,18.4272848506807,18.3393706857503,15.5947384753007,20.1,20.2632302405498,19.3409512874383,19.0146320741761,18.536018270677,18.5240773220648,20.4312940142031,20.9569681062242,19.1718515363443,19.1511931176586,22.2,22.3180412371134,22.1226350968619,22.2007646383104,22.2484988277672,22.4322498207394,22.6974131860804,22.5301841108212,22.6403493667821,23.6372871540888,21.7,22.4703074951954,23.9762534138036,24.7125246212595,25.2823345012122,25.724204400736,25.1005215823869,25.1836702678011,25.3240149259032,26.3557899298142,19.9,20.1452380952381,20.2857142857143,20.7581576893052,21.3639180872501
