"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,20.1,20.1512553734847,20.2007754060666,20.2486188507672,19.1,19,19.0884978099983,19.1739993708417,19.25660612582,18.4,18.3,18.4121975423252,18.5205964393349,18.6253253008536,24,24,23.9192140076636,23.8411631673188,23.7657548755798,24.6,24.9,24.7887429232433,24.6812526506847,24.5774016505366,26.3,26.2,26.0447291346363,25.8947152377688,25.7497803254741,23.6,23,22.9530707681305,22.9077304080234,22.8639251256279,21.4,21.6,21.6004702327843,21.6009245450098,21.6013634756951,21.1,21,21.0207842890644,21.0408648894325,21.0602656257239,20.6,20.5,20.5377126692979,20.5741485097848,20.609350750748,20.1,20,20.0546410495314,20.1074321301371,20.158435875772,19.4,19.3,19.3783407818582,19.4540291986303,19.5271550508056,19.1,21.1,21.1173986130177,21.1342081653621,21.1504486007191,24.9,24,23.9192140076636,23.8411631673188,23.7657548755798,23.6,23,22.9530707681305,22.9077304080234,22.8639251256279,24.3,24.2,24.1124426555702,24.0278497191779,23.9461208255702,22.9,22.5,22.469999148364,22.4410140283757,22.4130102506519,21.6,21.5,21.503855908831,21.5075812690802,21.5111805006999,20.9,20.8,20.8275556411578,20.8541783375734,20.8798996757335,20.5,20.2
1,20.5,20.5348187630721,20.5683706330985,20.6007017064319,20.6318564021931,19.4,19.4748426532798,19.5469621300708,19.6164575141156,19.6834242839594,18.7,18.8003124015938,18.8969749008715,18.9901203008233,19.0798765723561,23.5,23.4256626988692,23.3540301868101,23.2850040491128,23.2184894519215,23.8,23.714747092449,23.6325961421813,23.5534342833809,23.4771527568944,24.4,24.2929158796084,24.1897280529236,24.0902947519171,23.99447936684,22.4,22.365686589077,22.3326216837825,22.3007598567965,22.2700573336878,21.9,21.8838792664441,21.8683450914972,21.8533761330163,21.8389518253997,21.3,21.3057104792847,21.3112131807549,21.3165156644801,21.321625215454,20.8,20.8239031566518,20.8469365884696,20.8691319407,20.890519707166,20.3,20.342095834019,20.3826599961843,20.4217482169198,20.4594141988779,19.6,19.667565582333,19.732672766985,19.7954110036276,19.8558664872746,20.9,20.9202646211784,20.9397919069267,20.958608685456,20.9767408088236,23,22.9438553762364,22.8897535945249,22.8376203253326,22.7873839436335,22.3,22.2693251245504,22.2397663653255,22.2112831120404,22.1838362320302,22.9,22.8474939117098,22.7968982760678,22.7481435805766,22.7011628419758,22,21.9802407309707,21.9612004099543,21.9428528777723,21.9251729270573,21.8,21.7875178019175,21.7754897730402,21.7638993882603,21.7527307237421,21.1,21.1129875502316,21.1255025438408,21.1375621749681,21.1491830121388,20.7
2,20.3,20.3552413155317,20.4083296137993,20.4593488081437,20.508379541403,19.1,19.2020110329442,19.3000462099019,19.3942604889239,19.4848027886075,18.4,18.5292933681014,18.6535475576283,18.772958969379,18.8877163494768,24.4,24.2954447810392,24.1949645771157,24.0984005654781,24.0056001134542,24.3,24.1993422574902,24.1026076267909,24.0096432055431,23.9203020507213,25.1,24.9681624458819,24.8414632293892,24.719702085023,24.6026865525849,22.7,22.6617018807068,22.6248964215943,22.5895254465833,22.555533046994,21.7,21.7006766452172,21.7013269183464,21.7019518472335,21.7025524196644,21.2,21.2201640274724,21.2395421667224,21.2581650475586,21.2760621059996,20.7,20.7396514097276,20.7777574150985,20.8143782478836,20.8495717923348,20,20.0669337448848,20.131258762825,20.1930767283387,20.2524853532041,19.4,19.490318603591,19.5771170608762,19.6605325687288,19.7406969768064,21.5,21.5084715981193,21.5166130176968,21.5244371273635,21.5319562941985,23.5,23.4305220690985,23.3637520241926,23.2995843260632,23.2379175488576,22.7,22.6617018807068,22.6248964215943,22.5895254465833,22.555533046994,23.5,23.4305220690985,23.3637520241926,23.2995843260632,23.2379175488576,22.3,22.277291786511,22.2554686202951,22.2344960068434,22.2143407960621,21.7,21.7006766452172,21.7013269183464,21.7019518472335,21.7025524196644,21,21.0279589803744,21.0548282660729,21.0806503276886,21.1054659805337,20.4
3,20.7,20.7537804417881,20.8050305289449,20.8538693139426,20.9004102478685,19.5,19.610240103641,19.7152934414702,19.8154040493575,19.9108044813537,19,19.1337649627464,19.2612363216891,19.3827101891137,19.4984687453059,25.1,24.9467616816608,24.8007331830186,24.6615752840882,24.5289647250893,23.4,23.3267462026191,23.2569389757628,23.1904161592592,23.1270232225267,23.5,23.422041230798,23.347750399719,23.276954931308,23.2094903697362,21.8,21.8020257517563,21.8039561924633,21.805795806479,21.8075488671737,21.8,21.8020257517563,21.8039561924633,21.805795806479,21.8075488671737,21.4,21.4208456390406,21.4407104966384,21.459640718284,21.4776802783354,20.9,20.944370498146,20.9866533768573,21.0269468580402,21.0653445422876,20.3,20.3726003290724,20.44178483312,20.5077142257476,20.5705416590302,19.7,19.8008301599989,19.8969162893827,19.988481593455,20.0757387757729,21.3,21.3255506108617,21.3498990726822,21.3731019462352,21.3952131311259,23.1,23.0408611180823,22.9845047038942,22.9307998431129,22.879621780898,21.8,21.8020257517563,21.8039561924633,21.805795806479,21.8075488671737,22.4,22.3737959208298,22.3488247362006,22.3250284387716,22.3023517504311,21.8,21.8020257517563,21.8039561924633,21.805795806479,21.8075488671737,21.8,21.8020257517563,21.8039561924633,21.805795806479,21.8075488671737,21.3,21.3255506108617,21.3498990726822,21.3731019462352,21.3952131311259,20.8
4,20.3,20.3402740792553,20.3789646452209,20.4161339591425,20.4518418342516,19.2,19.2835243447064,19.3637646438853,19.4408500210284,19.5149045226954,18.7,18.803183556275,18.9023100978236,18.9975391400675,19.0890239265334,23.2,23.1262506521569,23.0554010123785,22.987337068716,22.9219492919908,23.7,23.6065914405883,23.5168555584401,23.4306479496769,23.3478298881527,23.4,23.3183869675295,23.2399828308031,23.1646614211003,23.0923015304555,22.3,22.2616372329806,22.2247828294675,22.1893774829863,22.1553642188993,21.3,21.3009556561179,21.3018737373442,21.3027557210644,21.3036030265755,20.9,20.9166830253729,20.9327101004949,20.9481070162956,20.9628985496459,20.5,20.5324103946278,20.5635464636456,20.5934583115269,20.6221940727164,19.9,19.9560014485102,20.0098010083716,20.0614852543737,20.1111373573221,19.1,19.1874561870201,19.271473734673,19.3521878448362,19.429728403463,20.4,20.4363422369415,20.4712555544332,20.5047961353347,20.537017953484,23.5,23.4144551252157,23.3322737400155,23.2533235972925,23.1774776496879,21.9,21.8773646022355,21.8556191926182,21.8347287782175,21.8146597419698,22.6,22.5498417060394,22.5016555571045,22.4553640115628,22.4108925765965,21.8,21.7812964445492,21.7633282834059,21.7460666020253,21.7294836227374,21.5,21.4930919714904,21.4864555557689,21.4800800734488,21.4739552650402,20.8,20.8206148676866,20.8404191912826,20.8594448401034,20.8777224304135,20.2
5,20.4,20.4468923358038,20.4918228356309,20.5348735768686,20.5761232030299,19.2,19.2970967696755,19.3901312990573,19.4792735402074,19.5646863348984,18.7,18.8180152837887,18.9310931588184,19.0394401915986,19.1432543065102,24,23.8962790341887,23.7968974453517,23.701673686852,23.6104338074245,23.3,23.2255649539472,23.1542440490171,23.0859069987997,23.0204289676811,22.9,22.8422997652377,22.7870135368259,22.7340403199126,22.6832833449706,21.9,21.8841367934641,21.8689372563479,21.854373622695,21.8404192881943,21.4,21.4050553075774,21.4098991161089,21.4145402740862,21.4189872598062,20.9,20.9259738216906,20.9508609758699,20.9747069254774,20.997555231418,20.4,20.4468923358038,20.4918228356309,20.5348735768686,20.5761232030299,19.9,19.967810849917,20.0327846953919,20.0950402282598,20.1546911746418,19.2,19.2970967696755,19.3901312990573,19.4792735402074,19.5646863348984,20.7,20.7343412273358,20.7672457197743,20.7987735860339,20.8289824200628,23.4,23.3213812511245,23.2460516770649,23.1738736685214,23.1047153733588,21.6,21.5966879019321,21.5935143722045,21.5904736135297,21.5875600711614,22,21.9799530906415,21.9607448843957,21.9423402924168,21.924705693872,21.5,21.5008716047547,21.5017067441567,21.502506943808,21.5032736654838,21.5,21.5008716047547,21.5017067441567,21.502506943808,21.5032736654838,20.9,20.9259738216906,20.9508609758699,20.9747069254774,20.997555231418,20.3
6,19.8,19.8587125312644,19.9150454305482,19.969095144866,20.0209542122135,18.6,18.7073487987739,18.8103467268029,18.909170125848,19.0039881904997,18,18.1316669325287,18.2579973749302,18.379207616339,18.4955051796428,23,22.9290158179057,22.8609086405357,22.7955618622474,22.7328636034504,24.4,24.2722735058112,24.1497237949053,24.0321410511017,23.9193239621166,22.7,22.641174884783,22.5847339645994,22.5305806074929,22.478622098022,22,21.9695460408303,21.9403263874146,21.9122910130657,21.8853919186889,21.2,21.20197021917,21.2038605849177,21.2056743337204,21.2074145708797,20.4,20.4343943975096,20.4673947824209,20.499057654375,20.5294372230705,20,20.0506064866795,20.0991618811724,20.1457493147024,20.1904485491658,19.4,19.4749246204342,19.5468125292997,19.6157868051934,19.6819655383089,18.7,18.8032957764815,18.902404952115,18.9974972107662,19.0887353589758,20.2,20.2425004420946,20.2832783317966,20.3224034845387,20.3599428861181,24.9,24.7520083943489,24.6100149214658,24.4737764756925,24.3430598044973,21.9,21.8735990631227,21.8482681621025,21.8239639281475,21.8006447502128,22.1,22.0654930185378,22.0323846127267,22.0006180979839,21.9701390871651,21.6,21.5857581300001,21.5720934861662,21.558982673393,21.5464032447843,21.1,21.1060232414624,21.1118023596056,21.1173472488022,21.1226674024035,20.4,20.4343943975096,20.4673947824209,20.499057654375,20.5294372230705,19.9
7,19.9,19.9627762292724,20.0231478690766,20.0812070251441,20.1370422751754,18.8,18.9049107831569,19.0058030489992,19.1028307233765,19.1961418361406,18.3,18.4240628531044,18.5433735853277,18.658114222573,18.7684598183975,23.4,23.3287117396398,23.2601541147774,23.1942225307685,23.1308163993771,25,24.8674251158078,24.7399283985263,24.6173153333397,24.4993988561549,23.3,23.2325421536293,23.1676682220431,23.1052792306078,23.0452799958284,22.8,22.7516942235768,22.7052387583715,22.6605627298043,22.6175979780853,21,21.0206416753879,21.040492689154,21.0595833269118,21.0779427142102,20.4,20.4436241593249,20.4855773327482,20.5259235259476,20.5647242929185,19.9,19.9627762292724,20.0231478690766,20.0812070251441,20.1370422751754,19.3,19.3857587132094,19.4682325126708,19.5475472241799,19.6238238538837,18.6,18.7125716111359,18.8208312635306,18.9249441230551,19.0250690290434,20.2,20.2512849873039,20.3006055472796,20.3480369256262,20.3936514858213,25.8,25.6367818038918,25.4798155404008,25.3288617346253,25.1836900845439,22.3,22.2708462935244,22.2428092947,22.2158462290009,22.1899159603423,22.4,22.3670158795349,22.3352951874343,22.3047895291616,22.2754523638909,21.8,21.7899983634719,21.7803798310285,21.7711297281974,21.7622339425992,21.1,21.1168112613984,21.1329785818883,21.1485266270725,21.1634791177588,20.4,20.4436241593249,20.4855773327482,20.5259235259476,20.5647242929185,19.8
8,19.9,19.9485248382142,19.9953432293774,20.0405151832012,20.0840985990675,18.8,18.8872079503084,18.9713491052375,19.0525313131412,19.1308586297282,18.4,18.5012745365245,18.5989876055502,18.6932644513012,18.7842259136048,22.8,22.7465420881475,22.6949641021101,22.6451999315413,22.5971857909619,24.2,24.0973090363912,23.9982293510155,23.9026339479813,23.8104002973937,22.7,22.6500587347016,22.6018737271883,22.5553832160813,22.5105276119311,22.4,22.3606086743636,22.3226026024228,22.2859330697013,22.2505530748385,21,21.0098417261199,21.0193373535174,21.0284990532612,21.0373385684067,20.5,20.52742495889,20.5538854789083,20.5794154759612,20.6040476732525,20,20.0450081916601,20.0884336042993,20.1303318986612,20.1707567780983,19.4,19.4661080709843,19.5298913547684,19.5914316059012,19.6508077039132,18.7,18.7907245968624,18.8782587303156,18.9627145976812,19.0442004506973,20.4,20.4309416054441,20.4607951039865,20.4895987605012,20.5173894942217,24.3,24.1937923898372,24.0913197259374,23.9924506634413,23.8970584764246,21.5,21.4922584933498,21.4847892281265,21.4775826305613,21.470629463561,21.7,21.6852252002418,21.6709699779701,21.6572160614813,21.6439458216226,21.3,21.2992917864579,21.2986084782829,21.2979491996412,21.2973131054993,21.1,21.1063250795659,21.1124277284392,21.1183157687212,21.1239967474376,20.4,20.4309416054441,20.4607951039865,20.4895987605012,20.5173894942217,19.8
9,18.4,18.4806253155937,18.5590324710498,18.6352824922923,18.709434726303,17.4,17.5081372716257,17.613299475389,17.7155684612261,17.8150238272215,16.7,16.8273956408481,16.9512863784265,17.0717686394798,17.1889361978645,20.3,20.328352599133,20.3559251628052,20.382739151318,20.4088154345577,22.2,22.1760798826722,22.1528178545606,22.1301958103436,22.1081961428125,22.7,22.6623239046562,22.625684352391,22.5900528258767,22.5554015923532,22.4,22.3705774914658,22.3419644536928,22.3141386165569,22.2870783226288,21.9,21.8843334694818,21.8690979558624,21.8542816010238,21.8398728730881,20.4,20.4256014035298,20.4504984623713,20.4747105544246,20.4982565244659,19.4,19.4531133595617,19.5047654667105,19.5549965233584,19.6038456253844,18.8,18.8696205331809,18.9373256693141,19.0031681047187,19.0671990859355,17.9,17.9943812936097,18.0861659732194,18.1754254767592,18.2622292767622,18.3,18.3833765111969,18.4644591714837,18.5433110891857,18.6199936363948,21.5,21.4953382518946,21.4908047575981,21.4863959885973,21.4821085134555,22,21.9815822738786,21.9636712554285,21.9462530041304,21.9293139629962,22.4,22.3705774914658,22.3419644536928,22.3141386165569,22.2870783226288,22.2,22.1760798826722,22.1528178545606,22.1301958103436,22.1081961428125,21.1,21.1063430343074,21.1125115593338,21.1185103761709,21.1243441538229,19.9,19.9393573815457,19.9776319645409,20.0148535388915,20.0510510749251,19.4
