"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,38.2333333333333,37.7363606640381,37.3363019370886,37.0803466228553,36.8257761956318,36.6520672337595,36.500860928415,36.4428339721099,36.403736227765,36.4269687674051,36.4351924682246,36.4809405888994,34.7,35.2826658679165,35.1562330584647,34.5690259716424,28.2,29.8346538878608,27.5,29.1248242162345,28.6,29.9247935107551,30.8233359431814,31.4543826595314,31.9222950765489,32.2412514427881,32.4912806480649,32.6345480465228,32.8302358160299,33.0363982465824,33.2455404630033,33.4726577239006,33.758731022713,34.0160506521923,34.2532778052177,34.5028567669273,34.6576300500669,34.7738367292677,34.8588636400399,34.9772418013613,35.0724123716647,35.1477950583548,35.2229571033625,35.2675994980491,35.43268224495,35.5599557674837,35.6783731220842,35.7324488736294,35.7875589924005,35.797705512677,35.8416657283767,35.8358935367834,35.9369465058812,36.0873492390147,36.1668292928854,36.1577818996535,36.204218457175,36.2715598482064,36.2942208190051,36.252350529271,36.2858477262321,36.2093263288197,35.3237415024596,34.6090546421568,30.7,31.56200726868,32.1,32.461077074983,33.4,33.3679994344552,33.4580425612584,33.6116309441285,33.7925532331072,34.0906713058477,34.3007260077934,34.363015784491,34.4721481704113,34.6007717527172,34.7363833699842,34.8677735069034,35.0191823943356,35.2445018588867,35.4184359240303,35.6248623828783,35.7516617095721,35.8451206891222,35.8851301689937,35.9394305138108,36.0032500087579,36.0867537072143,36.1643785918239,36.2280634963613,36.4830585328956,36.6994223871588,36.8714198932825,36.9677984712509
1,39,38.7911513625384,38.7041487910055,38.5542235065179,38.4384070560576,38.2651094287101,38.1935028765757,38.1706327347949,38.2075272226215,38.2272106661406,38.3650166161254,38.4324738398114,38.5088207067282,37.8869901221149,37.1238858695883,36.2338305325201,34.7561544832257,33.9486646360929,32.6791689235063,32.4079761950579,32.4498278692229,32.6738072257099,32.8557112905433,33.1232966572699,33.2758142372202,33.4357906015422,33.7252185906131,34.1464724837004,34.5595628010186,34.8897754923349,35.2776521236241,35.6760269873689,36.0864383109579,36.477932513194,36.7496328193361,36.8847769644131,36.8178440546848,36.7161040675399,36.6993609143595,36.8028440416658,36.8654669973021,36.988457078164,37.0218552160557,37.212075920085,37.2893315133395,37.3966381148939,37.4116182029997,37.5040392928209,37.497203291549,37.5506741926059,37.5019166119252,37.6517224888738,37.6711449724151,38.2455800309009,38.2876877490399,38.3171159362709,38.2043752885172,38.4967307827901,38.4222530037113,38.398689820028,38.2574348433847,37.4865976842613,36.6345777529002,35.682191909849,35.1940635522287,35.3649453924103,35.0866889274798,35.0447802008504,35.1322586687117,35.2323522503515,35.6530256492362,35.9189351081094,36.2672379375851,37.0622206264368,37.0967361297513,37.0576508095149,37.0830356894372,37.2028057277337,37.2628586892605,37.461581645032,37.7190113845433,38.0078275501322,38.3218984549464,38.5040458205641,38.3762541767703,38.2353526533155,38.0754395640685,38.0791531463804,38.0058396327025,38.1216501599283,38.1086076061769,38.4178388267853,38.5260649259362,38.695734169269,38.6876790470183,38.8394380223436
2,38.1333333333333,37.6816876561835,37.3794821266927,37.0490517225215,36.8484469860566,36.7400477337027,36.6620451253897,36.7649280905044,36.7923914028235,36.8327489531215,36.8231573886674,37.0085855848033,37.0571497156787,36.7085775045112,35.3779336506161,34.4152477297272,33.062837944735,32.3867310924997,31.1580933229514,30.8372321526301,30.9806460602591,31.2868177999704,31.6499838288962,31.9892371833628,32.2715280780901,32.5028096582944,32.7068784272532,33.0166289343684,33.2715814541126,33.4773507950428,33.6950170452395,34.0429185016397,34.3327282644973,34.5900617586111,34.8533780226017,35.0329143471672,35.0221775776276,35.0363890801951,35.1228562472298,35.2172792713657,35.3157768234488,35.4017932330633,35.4728852516024,35.9777315378667,36.1774150017745,36.2410050783216,36.2265986425803,36.214674051089,36.1803158425879,36.163492374301,36.1312656445653,36.4928237245829,36.5948367870246,36.6085742701502,36.5255068010445,36.7309995535919,36.7478839403614,36.7148346508469,36.6223440723248,36.8242749275326,36.828737972289,36.4343021682661,34.9859581235274,33.9861032573467,33.1830031006399,32.7169517362212,32.7371297414081,32.8157963069797,33.0549071601964,33.3003724628488,33.6317437824386,33.9056994087175,34.1787725585181,34.3949501476288,34.5480153536944,34.767530131526,34.9515725849993,35.1214502425931,35.2615366372866,35.5025977345526,35.6954288584782,35.8652404181708,36.1083152150207,36.3139446240166,36.2764098193087,36.27501553259,36.2405377982258,36.2637419725589,36.291779845858,36.3881523163141,36.4729203786123,37.3364650314704,37.6807028551329,37.7748299137098,37.7414443584772,37.718186712383
3,38.4666666666667,38.1390339736781,37,36.9985645663508,36.9827639575077,36.9751071342247,37.5,37.3998964227869,37.2638848076807,37.2527284203849,38,37.8665621477662,37.6760430739125,37.0401450379027,35.8774234658532,34.7966650489945,33.7867398691953,28.3,29.2285399513903,30.1041303149743,30.8873819952738,31.5197451522326,32.0354679985125,32.4632235737963,32.8063850441594,33.070783412554,33.2919973640795,33.8050572186909,34.0828629338602,34.2667816392023,34.4315002753369,34.8467625306891,35.0886269111079,35.2745525679797,35.5572279250546,35.6811913392466,35.6186791188607,35.5983770266007,35.6442757352058,35.6537729216995,35.7379154164031,35.7907967693519,38.4,37.881874544588,37.5025919984615,37.214330789724,36.9893715938303,36.8329641358606,36.7193753117945,36.6388655406289,38.6,38.1132337068489,37.7298144120676,37.432206855063,38.7,38.2129410364166,37.8094974657564,37.5240248457579,38.9,38.3687278724397,37.9229878993605,37.1427024124038,35.7905802161555,34.5769722723997,32.2,32.3903151828948,32.7596389063313,33.1737515754382,33.5818392734346,33.903657730273,34.1822076147169,34.4448949999019,34.6941478067355,34.9142526336075,35.1061039475278,35.5757768550619,35.8026428585216,35.9257050331996,36.0191455743594,36.3637583727328,36.507767957432,36.5827140643681,36.8680083946728,37.0342998450432,36.9031829778692,36.8272636268959,36.7067059693608,36.6910110221663,36.6359169390095,36.6832689110097,41.2,40.2306066324976,39.5478619390304,39.0217703950504,38.6274428984419,38.3463310922258
4,38.3666666666667,38.0130328962566,37.7322174955234,37.4655281022818,37,36.9318849165179,36.865238526733,36.8895034891154,36.8870586105865,37.4,37.2592015077441,37.2576076885204,35.9,35.9748620081465,35.6231832542834,35.1133735428094,34.3735418600299,30.4,30.6942326249688,31.0824983825247,31.4789667778786,31.8575475781981,32.2009425665978,32.5174487096812,32.3,32.6778722688836,33.0081168753136,33.4228982377002,33.7558151023757,34.0202645436798,34.2748377708519,34.6007444837119,34.8802814750794,35.1340887884995,35.3831698499068,35.5347422894303,35.5488738892788,35.5466459602594,35.5772005497217,35.6192612449922,35.6810884758162,35.7483316329738,35.8007154238602,36.0533570231226,36.1912992029672,36.2770268200013,36.3069290244229,36.3400152132487,36.3420159217631,36.351419082712,36.320683906458,36.4940480388069,38.9,38.275296027244,37.7737389411422,37.553807105531,38.9,38.2956202686577,37.8146706461081,37.5991613302747,36.7,36.4153160916846,35.7815487281127,35.0679539303764,34.6439480566735,33.4,33.5608337746891,33.749644778894,33.9545167388989,34.1342039287968,34.3970596209205,34.6237760099763,37.8,37.1584281984738,36.6783704147593,36.4580627082592,36.3117452070437,36.2411796756309,36.2027600977737,36.3098681231793,36.4093523288387,36.5194464083303,36.7171397121652,36.8581378256685,36.8141316799916,36.7631689481421,36.6810128668763,36.6606482744992,36.616188292781,36.6479616881501,36.6638697404774,37.0539744961798,37.2620846291201,37.3850829086009,37.4149185446112,37.4547308797648
5,38.3,37.6464906636789,37.1995517102319,36.6348776616763,36.3586660856957,36.2204949984343,36.1293195691197,36.2894280233661,36.310435024047,36.3142357404426,36.2860595298367,36.5622758949903,36.6157356954685,36.3755157954384,35.7714366881616,35.024029307225,34.2387657550413,33.6615926112662,31.6637829912793,31.0704680077833,31.1144207790948,31.4013526579974,31.7480389116381,32.096594411977,32.4076704171274,32.6669669570171,32.8842756712261,33.2103830206949,33.4805703551058,33.6885795112862,33.8584990320834,34.1203049626529,34.3459514267061,34.5326643686527,34.7439405939493,34.8996020730839,34.9521016944594,34.9685610108085,34.9935648482047,35.009387625663,35.0514092899556,35.0933248710211,35.1451436334757,36.0227764682616,36.2853148471123,36.2899694846745,36.1966993338153,36.0852100410457,35.9836974535004,35.9011736917119,35.8191001848126,36.4450682285032,36.5850542055877,36.5253876960629,36.3828959147693,36.7574829096167,36.7680348072641,36.6517591753464,36.4931753326017,36.8768250041059,36.8735694896591,36.5457140985147,35.8198719438418,34.9590438497523,34.2973928325203,33.2817972849992,32.9566670614568,32.9786682423613,33.1639599070996,33.3895499330544,33.6068847607693,33.8235751933804,34.0325663204623,34.2266629242302,34.4000664654809,34.6878016699609,34.919573293532,35.0817087035041,35.1996121769575,35.4068749470602,35.5645348962909,35.6701265851988,35.8438629876908,35.9981976209314,36.0204334803569,35.9995964155216,35.9376187235884,35.9025762004801,35.8608201106793,35.8620004805679,35.8861941593759,37.3725156447467,37.8004321177179,37.7841334429315,37.6099142079496,37.4073164489131
6,39.2,38.7027977944245,38.1918245734728,37.7417878529756,37.3750010755842,37.2288419763255,37.03377917845,37.026021742618,36.979540564835,37.0452023363916,37.0008849445518,37.1186347686078,37.1588996163307,36.9228125651434,36.3579898413807,35.8044376423118,35.2538525074155,34.5848577491075,32.4552297004801,32.1828338688704,31.0881748891784,31.3915614557327,31.6809593750683,31.8835205669912,32.092741085881,32.29274998104,32.5552380659565,32.7635233005123,33.0965851909595,33.4326720817983,33.7461903794148,34.0275500177886,34.3517241394038,34.669396028392,34.8319093312473,34.9897946581029,35.2422441285284,35.4118723716517,35.6311336180935,35.6547105978076,35.7141809565171,35.8476385479276,35.8791010366248,36.0241862106384,36.2575081865492,36.3837508702384,36.6238669522413,36.6221247331359,36.6818492645406,36.6020629185836,36.644178363566,36.6853330734643,36.8923670684894,36.9382097363907,37.076524327375,37.1167871251555,37.2480413956976,37.2011706156395,37.236802311336,37.2085628681724,37.316598187981,37.2287986323866,36.6261836146528,35.9878771738764,35.3152643150967,34.5687333501846,32.7330821229856,32.9617669290732,33.6987220138433,33.7053852505375,33.8766444969581,34.0357287727876,34.2635425325118,34.3120280497809,34.6378417325021,34.7305300821182,34.9511628117526,35.1475809723348,35.3160750365265,35.4158037445007,35.6961051528323,35.8461257702558,35.9253228500581,36.0248624477772,36.310354139743,36.4397002528193,36.7655211394028,36.7365714524955,36.7506479576885,36.8323933839629,36.8680042089818,37.1114167663722,37.478465996537,37.6670834961696,37.956650557344,37.9235256882205
7,39.9333333333333,39.3658103913147,38.8479372434808,38.4104636411027,38.0378197903864,37.7755089017844,37.5960022922225,37.4842706114097,37.464078581231,37.4698156124164,37.4756181192472,37.4886332857616,37.5686939347835,37.492466541127,36.8251448759145,36.2378474576239,35.5943053798517,30.1,31.7669357252151,29.2,30.6036400609901,31.3489357088054,31.8069588796553,32.1193915841454,32.3806822186042,32.5976249878924,32.8686644336506,33.0958826362149,33.3907176180511,33.7197795261113,34.0390962328784,34.3456214309227,34.6578830265545,34.9796801626187,35.2162600832746,35.4204219160204,35.6823934161429,35.8363478533506,36.0406363579871,36.1391571287171,36.2435763691867,36.3243558011577,36.4047731505523,36.4245403271165,36.6673640678143,36.8357293477324,37.0456486972717,37.0984967236288,37.1718550528987,37.1411700753857,37.1800484237751,37.1293717769344,37.3048855903707,37.3869289213529,37.4903560268523,37.4626659039472,37.5914786211902,37.611429458248,37.6498094683117,37.5802939493961,37.6881353635266,37.6823317997342,36.9493175257408,36.3930192187199,35.6811104560085,30.2,31.9319539840625,34.5,34.2103310374098,34.1555986145321,34.2712991521773,34.4480599288676,34.6352448922423,34.7220786687087,34.9065472888817,35.0119356182676,35.1940760689367,35.4037209566824,35.6002741238724,35.7445035582335,35.994078918431,36.1710614659435,36.3041959758892,36.4401407554582,36.722748782114,36.8669170121713,37.1141441321416,37.183595210099,37.2714908321223,37.3262447168651,37.420029078945,37.4264018144798,37.8021306335737,38.0732984918693,38.3501038674111,38.4169572125447
8,39.9666666666667,39.3688653813014,38.9035934048151,38.5512899943092,38.2469916591994,37.9711204737716,37.7969975015215,37.6819299993462,37.6545294786447,37.6462471033557,37.7321855578111,37.7500729750077,37.804478649703,37.6198884133519,37.4280069523521,37.0202521517428,36.5056707280378,35.8629609902263,34.7528738508838,33.9399126582194,33.5178476951956,33.401341676696,33.4736270275044,33.6469526931317,33.8618876536288,33.9978256113056,34.1796031038994,34.3699598395853,34.6024551397233,34.8313392020061,35.0365823040465,35.230857031857,35.4555796634817,35.676573832639,35.8841737496454,36.0869886844108,36.2507585545317,36.3374415435018,36.3861934570177,36.4337732912228,36.4820718206362,36.5358749577815,36.5914080252789,36.6429422427932,36.8401967946662,37.0090964974479,37.1192227574068,37.1728528080973,37.197985233847,37.2006546255619,37.1978665267572,37.1819582079833,37.2952232946346,37.7651627980776,37.8986024955908,37.862483649901,37.8633942296266,38.0846139360996,38.0865044051198,37.9857354856883,37.954792625152,37.7926475773407,37.5392156808849,37.0318609593721,36.4309411710089,35.8978923114061,35.3124960417448,35.0311557436203,34.94095221761,34.9821281379341,35.0874757935866,35.2526544692954,35.4317965020039,36.0932148471907,36.3688023716622,36.463477817256,36.528417540591,36.5819439528851,36.6363188217603,36.6889620700273,36.785716988644,36.8927311867888,37.0003092434962,37.1399104880457,37.2751645002809,37.3329489775901,37.3533362834758,37.3424988322902,37.3386534957397,37.3343463018512,37.3558756868968,37.3862125216913,37.6875781825931,37.9528984303258,38.1223140316111,38.1993648810087
9,42.1666666666667,42.5,41.5727513870279,40.8631123049521,42.4,41.5395931590086,42.7,41.7985109964474,43.1,42.1370105280582,43.3,42.3189248080441,38.9,38.5454260947417,38.1664551936332,38.7,37.8703503808392,36.9536907291112,37.9,37.2319061036199,36.8,36.4596961844666,35.8,35.7049691672377,35.4,35.3492361209965,35.2973543875718,36.5,36.2308730567561,37.9,37.4720608614172,39.4,38.8555997851235,38.4418236877776,38.1355887755445,37.9592156927555,37.7899781159164,40.2,39.5855680946389,39.1783352806682,40.8,40.1384605383537,39.6333140709123,39.1884838137956,38.869195599113,41.8,41.0023741747098,42,41.1749808854438,42.1,41.2884077215151,42.2,41.3775249713513,42.7,41.7798481614193,42.8,41.8601098734191,42.6,41.7040501189185,42.5,41.6301654470663,40.8810178281418,39.6,38.7033631622789,37.7620362713362,39,38.2868117080862,38.7,38.1030611289612,38.7,38.1675170696341,39.1,38.554476593501,39.8,39.145835703141,40.2,39.4332248676456,40.3,39.5976089951836,41,40.2299600135238,39.7629089473001,39.3753409100529,39.1183677608525,38.8551731011489,43.2,42.1392394237645,41.3626047092226,43.1,42.1624219032164,41.4727053378489,40.8448291936632,40.423256344532,43.9,42.9139926216847,44.8
