"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,36.5,36.5118906564755,36.3587173040074,36.2455931040805,37.4,37.5,37.0754085117742,36.7023301130513,36.6281480774954,38,38.2,37.6260568622423,37.1510774121868,36.7202418587992,29.2,29.6,30.5166906044341,31.0427523854983,30.9284303622028,29,28.6,29.8269205956248,30.6945637398242,30.7922540525837,27.6,28.2,30.113853224661,31.1333991003062,31.7016230839582,33,34.7,34.8409522213676,34.793306987451,35.0044022686046,37.6,37.4,36.7691514178432,36.3157017420997,36.3035875245233,38,38,37.4015081660638,36.8785351347206,36.7179455769056,37.9,37.8,37.3066537576944,36.8462410858857,36.7532244594417,38.1,38.2,37.6922951124728,37.189779590364,37.0242224636528,38.3,38.3,37.8225982086433,37.3141606668412,37.1201141820003,38.5,34.9,35.5256170781313,35.6803695500418,35.1831425782623,30.7,32.3,32.5757893136066,32.9026937611354,32.9224161139501,33.9,35.1,35.2308211939632,35.2324823347419,35.113818761442,34,34.6,35.2471530300136,35.4137427380248,35.4863560929303,38.5,39.1,38.3673549141815,37.7443172448389,37.6769359706492,41.3,40.8,39.5504171265257,38.6332226797275,38.3599427303522,40.9,41,39.8496108125058,38.9368608797083,38.6006673858763,41,41.5
1,37.2,37.2478295192326,37.2146330069415,37.1705040189514,37.3627391600752,38.1,38.0421625744332,37.9144432786875,37.773355646604,37.8746790509043,38.8,38.5720728609492,38.3494926984259,38.1399395481986,36.9995784976058,32.2,32.2545011512094,32.3283304962882,32.5800350042271,32.9918094967957,32.1,32.6875101442647,33.162974642329,33.6477890570812,33.557850278632,32.7,33.4414942630649,33.8256745630609,34.0922355270029,34.4635487641096,37.6,37.3246570307123,37.0635429527785,36.8947581434965,37.1230958810936,38.3,38.2372990697723,38.0405741989082,37.847742417421,37.7412954181105,39,38.5827961797706,38.2116747644127,37.9087049204725,37.8108304613873,38.9,38.5050695927172,38.157098250147,37.8804006456061,37.8367682147976,39,38.6822245714201,38.3561294359185,38.0590910791514,37.9674318944951,39.2,38.8761621999168,38.5273627738394,38.2060430499134,38.0747754987556,36.6,37.107888874013,37.2367653951027,37.3153395236867,36.5045985583254,35.5,35.294953970779,35.3340755158627,35.5132221152918,35.8316128405758,38.3,38.0245449481809,37.7817727204591,37.6161609511933,37.263094870382,39,38.3278947951596,37.8567526924195,37.561705996877,37.619287740237,41.9,40.6714596383966,39.8207906660847,39.2659484335214,39.1326055020171,41.5,40.6693605578091,39.9796243381903,39.4217237201061,39.2728390420899,41.9,40.9215495262887,40.1784958370843,39.6063639010111,39.4609988360388,42.1
2,36.4,36.2034748284774,35.9902711007121,35.8415270737557,35.8958811717435,37.8,37.1702885970221,36.6773720808857,36.3519460070545,36.3544354526186,38.5,37.7291501308372,37.1277990264605,36.7147337674219,35.7250969040883,29.2,29.8480060490953,30.4783148922849,31.0958287929844,31.3342296286188,29.9,30.9786381909325,31.717231569415,32.2626781495937,32.3782599519391,31.1,31.9946940344439,32.5086789004608,32.8375531661242,33.1520841502581,35.8,35.8191994859672,35.6105365018731,35.4595753183562,35.4487502004872,37.5,36.8924631474011,36.4165786421779,36.086994320479,35.9777931831376,38.1,37.3145257513777,36.7057294694417,36.2907217411063,36.1334270438626,37.8,37.1665513291321,36.6446186732342,36.2914847057265,36.1940399992487,38.6,37.7217395516484,37.049697739347,36.5788911755875,36.3972838934465,38.6,37.7596151837866,37.0985692742328,36.6484296160014,36.458638294899,34.6,34.9953898821679,35.1585745278775,35.2770166877723,34.569939008362,33.3,33.5868344056185,33.8355959818145,34.0547575812542,34.3144147954355,36.2,36.2284987756806,36.0651056432439,35.9039677032581,35.6275207669151,36.3,36.4119620579594,36.2514981751158,36.0870597998764,35.9897628262722,39.9,39.0550065163107,38.2526092140421,37.6900788823923,37.3486178556205,40.9,39.553276874097,38.5352417423408,37.7990599494957,37.4860215648044,40.8,39.5608439398532,38.5794578166103,37.8807909170806,37.6374367611285,41.6
3,36.2,36.1081724232927,36.0084899795394,35.9570293786208,35.9109551711445,37.4,37.0609292805382,36.7606810640897,36.5563211604257,36.3854548748019,38,37.5573438280028,37.1682202989074,36.8855901566347,36.6485351255145,28.9,29.9499013495713,30.8464894247124,31.5901331178063,32.203799579075,32.1,32.6214112509994,33.0320220503392,33.3395109165944,33.5919415348318,34,34.1340942160503,34.1802453554061,34.2000552342314,34.2082047019705,39.1,38.1370768185759,37.3224215599307,36.7737912751845,36.3773732832292,38.1,37.4836003893074,36.9943543952805,36.6302180687603,36.3494631109787,38.4,37.6853092732722,37.1208718150375,36.7269247234222,36.4281268289855,38.3,37.6317829839261,37.1005257092102,36.7400326027786,36.4680209872691,38.6,37.8901424247505,37.3262122031995,36.9188739921651,36.5981951311722,38.7,37.9746597439202,37.3949192194587,36.9969316640493,36.6882274007516,35.7,35.7229686076663,35.7075774095225,35.7152381413673,35.7326981224469,34.7,34.8760777202835,34.9849212801683,35.0465141990136,35.0846560207564,38.9,38.0856817559583,37.4223520964736,36.9436731417542,36.5820997682796,39.6,38.6822282504302,37.8944025751243,37.3206701658964,36.877881105047,42.2,40.687501912239,39.4684124356879,38.6162522250634,37.9844864439291,41.3,39.9831461277482,38.9735305093022,38.2253473505639,37.6472781999197,41.2,39.9304365096265,38.9394358520012,38.2291370897577,37.6862452051542,41.4
4,36,36.0427227545886,36.0369080113497,36.0297355401474,36.0703737124174,37.1,36.9883717768486,36.8426814161327,36.7085578771287,36.6371948610618,37.6,37.4384413940725,37.2425969017539,37.0562008597168,36.6402635431506,31,31.1985113742558,31.4577822385709,31.8033642431167,32.1806653141847,30.5,31.3562248721554,32.0174240924999,32.5713471177528,32.8869255550156,33.2,33.440095391711,33.5914138841205,33.7171621428873,33.8562076522145,38,37.4803896070055,36.9927899122098,36.6271757761759,36.4262926575373,38.4,37.8739369577934,37.4274600906271,37.0762183974155,36.8123456376053,38.7,38.0921423857348,37.5815798058028,37.180037719123,36.8940550406623,38.4,37.8851409429663,37.4414301733862,37.0946770692683,36.8592506786629,38.7,38.1534468189267,37.6818974346282,37.2952250195112,37.0140731197241,39,38.3922857470593,37.871062241646,37.4535019499437,37.1467985489875,36.7,36.5040484889451,36.3348394588799,36.2511430723786,35.9898247572121,33.4,33.8764665144825,34.2219796798965,34.5037665449568,34.743547608937,38,37.6173423694282,37.2529913097007,36.9620757042435,36.6591795117902,38.4,37.9553668505973,37.5065105269612,37.1425678868395,36.8977661840948,41.3,40.3459036287286,39.4943333605922,38.8302463695233,38.3636647172229,41.5,40.4459743555984,39.5677707387417,38.856012051835,38.3522398050709,41.4,40.4034481611263,39.5629790787925,38.8880304592314,38.4144974179319,41.9
5,35.7,35.6062088527005,35.5117722884588,35.4471691427973,35.3943072176301,36.8,36.5675460044394,36.3152669003461,36.1064789529278,35.9271141374517,37.4,37.084660646827,36.7512583898129,36.4667785562154,36.220344818033,29.5,29.7781594792773,30.3244255549081,30.927819227195,31.4995306250708,31,31.7234431950987,32.2585570794757,32.6535288995899,32.9599133942609,34.1,33.9089846148204,33.8271817197753,33.7935873807197,33.7796923756666,39,38.0761813719736,37.2544349157414,36.6246987733314,36.1471680490158,38,37.3194879588619,36.7695862992642,36.3429954684992,36.0111819523722,38.6,37.6958914216106,37.0040156544738,36.4997219561618,36.1229178741378,38.3,37.5300592790026,36.9177184457203,36.4682059210833,36.1300718521714,38.7,37.8434129016446,37.1743614630932,36.6730107393208,36.2860800246867,38.8,37.9306761739201,37.2478021699513,36.7473590302799,36.3669424970389,36.1,35.6304077219558,35.3897399628105,35.2791987646624,35.2350151827845,33.3,33.8809243086512,34.2073828390624,34.3898611591095,34.4940116238389,38.5,37.8268352862246,37.1999803881176,36.6884479840902,36.2807543844333,39.6,38.6352818665386,37.8042137275587,37.1514038499791,36.6377409806926,41.9,40.641928769005,39.4816925938943,38.5542762328115,37.8275359717714,41.2,39.9879223613548,38.9522818071803,38.1221707392426,37.4622445681628,41.1,39.9198965704751,38.9051560995087,38.1057982832494,37.4773717436492,41.5
6,36.6,36.7575648313623,36.6234513197583,36.4433913894953,36.2751873488602,38,37.5775434100762,37.3222133472559,37.0939384746256,36.8233917839953,38.8,38.0862609891457,37.7868991956792,37.3433224655163,37.0034478350529,30.7,31.4166594413592,31.6799169651758,31.6191344433751,31.8994808508649,28.9,30.7307304827104,31.5897663235879,31.8473713556481,32.2809198544673,33.8,33.7123978935031,33.6398402676623,33.5943800874831,33.6299392487666,38.4,37.5500875463317,37.1379000476471,36.7819950268231,36.4072545124555,38.8,38.1487836522071,37.6327134344315,37.2567646465568,36.8507655454463,39.5,38.8488725633926,38.1224509314029,37.608459852735,37.1169254028355,39.1,38.6733450593536,38.0426889603626,37.592770659229,37.1414429225917,39.4,39.0183055939537,38.3359668674684,37.850445412342,37.3599275008102,39.6,39.1942109617434,38.5214608455873,37.9878649549939,37.477481667507,36.8,36.8660124536966,36.4823879566352,35.8606778259685,35.629104153375,30.5,32.4906829914343,33.3300401501828,33.6247049723417,33.9276022550227,37.9,37.5519091575314,37.1115678537915,36.6351200002591,36.3021928832261,39.1,38.6721655547206,37.9810528451167,37.3772606603194,36.9028877110005,41.5,40.7781326311072,39.9223173035594,39.2390374441763,38.541861435791,41.8,41.0400485639741,40.0892579836427,39.4047845135061,38.673167639501,41.9,41.1628512542187,40.2330327802048,39.5192985037913,38.7873946941388,42.3
7,37.5,37.3825295023594,37.2074403519871,37.0542944720174,36.9596449514513,38.7,38.2297658314422,37.8448977420516,37.6472146169049,37.5116339149163,39.4,38.8100595990375,38.3386073510912,37.9108715057266,37.3287304377288,31.1,31.7215587750422,32.1117930775719,32.083480301447,32.1517837278004,28.9,30.4509912119852,31.5493235744797,31.9721822166292,32.3345179375933,33.9,33.9935350078151,34.0291877709925,34.0315218271964,34.1170296012174,38.3,37.9867035831474,37.5877866036513,37.3288430042512,37.0689191721691,39.8,38.9307201790625,38.244647414613,37.867011843396,37.5515790307134,40.8,39.7634722023222,38.9062279066723,38.3618758852626,37.9254082503379,40.4,39.5226049517,38.7758736309325,38.3183920542067,37.9442343423894,40.8,39.8900461075953,39.1030434273745,38.600183698128,38.1853335052792,41,40.0605516774598,39.2452581977824,38.7098929552135,38.2684781755503,38,37.6346117496763,37.24620581527,36.5871023695852,35.9216642711253,30.2,31.934437381812,33.0954755120552,33.6511369958913,34.1146882988899,38.1,37.8485658806296,37.5327811281594,37.1467490384051,36.803489393663,39.6,39.0826448906123,38.5111449770734,37.9994235873528,37.5850374009757,42.3,41.3562829531861,40.4730300624158,39.8873983401017,39.3033514594672,43.2,41.9092422380656,40.8240534624171,40.1478817041514,39.5550237515621,43.2,42.0173110438937,40.9707732813227,40.2784454983629,39.6990982722,43.7
8,37.8,37.4551705094581,37.2517822815633,37.107055080568,37.0042412752194,38.9,38.4794029292399,38.127259512021,37.8281607773948,37.5901288246182,39.1,38.8132128570385,38.489165877645,38.1722935772566,37.897682575528,32.4,32.3982684071088,32.5617681109612,32.823721791808,33.1478861681303,30.7,31.6720403015508,32.518921715945,33.2016656514041,33.7446253324996,35.5,34.8167241590455,34.6789860110327,34.7285234952838,34.8333740533599,39,38.3863651219152,37.9676194364002,37.6113294371834,37.3238430131139,40,39.2213903380737,38.6127257233608,38.1303557435574,37.7577652277329,40.5,39.6519711387233,38.9537607512011,38.386469682261,37.9449039904133,40.2,39.3879581299541,38.7562255688549,38.2518359547547,37.8638062078099,40.5,39.7495953170991,39.0938035677551,38.5427258029677,38.1011973580871,40.8,39.9494576513599,39.2411349313771,38.6577261153807,38.1992264207634,37.7,37.1973093625266,36.9737443133988,36.8574858913172,36.8045911321004,32.9,33.9493899018529,34.6193229743373,35.0641807041371,35.3767400199988,39.9,38.8843168320231,38.3014364305535,37.9004183757012,37.6057287853586,41.3,39.7002009964946,38.8238913780293,38.2572857826028,37.8631138318292,43.3,41.916572936839,40.8739485725345,40.0274137213214,39.3617243086714,43.2,42.0589095300563,41.0273582393671,40.1465690841398,39.4277107657386,43.1,41.9709051937999,40.9759162783317,40.1268844350775,39.4378245138957,43.6
9,41.6,40.8565585103924,40.2175051072448,39.6736468175987,39.302673666489,42.4,41.4276698127229,40.6611369436157,40.0215915858759,39.6204652305072,43.3,42.1810527876818,41.3076638575801,40.5737482575546,39.5459285463066,38.7,38.1350570339468,37.588669856387,37.1739271672163,36.6266154946065,36.8,36.454904922306,36.1457714221246,35.9365892285472,35.5656133321328,35.9,35.6874142525012,35.5250621098822,35.4381728136827,35.4061179126472,38.7,38.1001933052832,37.6883132539349,37.3947720913727,37.2974778240983,40.9,40.1068927825834,39.4864331375864,38.9745824196418,38.6513840853993,40.8,40.0642991750767,39.4953079011966,39.0210119350791,38.7095939655965,41.8,40.8945019595653,40.1858696081177,39.6002706117589,39.2131759914366,42.2,41.2448777844972,40.5047980608647,39.8820790153844,39.453814220566,42.8,41.7370719954641,40.9157118853091,40.2321850508226,39.7374403171277,41.9,41.0138709455037,40.2110361104396,39.5603812682579,38.5278929707265,39,38.287602948113,37.703387207183,37.2851628619089,37.0383364833562,39.3,38.6964071197171,38.2321112652594,37.8767298338748,37.4700338032467,40.2,39.4189546119965,38.8376400846336,38.3936970531926,38.1120685543706,41.7,40.7687864428766,40.0743722901983,39.5269618264502,39.1682072143389,43.2,42.0911472784939,41.2316045880001,40.5117924540911,40.0595776628913,44.5,43.1828257128687,42.1633975386985,41.3096085696564,40.7634099055989,44.8
