"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,18.9666666666667,19.1728098721005,19.3282286498596,19.3879174957866,19.5057136015369,19.5114979601434,19.5399131625895,19.502435417817,19.4781503826012,19.3804536578778,19.1614981371225,19.1206484342764,19.1040544800204,19.0437641246043,19.8323396517398,20.245129246941,20.8675787570205,22.6555312730966,23.3038665576522,23.6234212409943,23.7496888578998,24.0223297531972,24.0085764681958,23.929546918684,23.9583671974548,24.1556531200686,24.0083784862864,24.0796953529501,23.7198826319999,23.3508176939124,23.0616566476455,22.8132257609039,22.1835370613653,21.8904966464063,21.6122929883985,21.421172027347,21.3706245618207,21.2630126190566,21.2684131441201,21.2286960393684,21.1957844939789,21.118474117421,21.0598373440863,20.9983941026309,20.9543047050147,20.8680446855071,20.7975830135492,20.7125590725146,20.6542252211429,20.3560547098744,20.3220289425877,20.2833705250255,20.2716156551438,20.1892518011592,19.8868536136807,19.8086223689807,19.7287865281644,19.6543629285067,19.6409704980247,19.6012347793109,19.5984196476873,19.5476590192907,20.4333982433983,20.9083787607856,21.3353679726155,22.8056946169047,23.2021805530627,23.532781258933,23.6854880238902,23.2802217162166,23.0910064175014,22.9335643289235,22.6973774660601,22.6700071022327,22.5534318220581,22.5662008235877,22.434799509841,22.3375650292402,22.3546684262876,22.3437428198846,22.2135618888368,22.0145718717355,21.7745694375783,21.6716953267723,21.6249678342593,21.4341298381079,21.5039863305127,21.5030168743526,21.4931216644833,21.4550764064532,21.4084343933527,21.2977003004445,21.2102388378252,21.1088297386213,21.0106297194322,20.8990710917572
1,19.3666666666667,19.5393836738709,19.7771674130525,19.870027930714,19.9478525132474,19.9862709510305,19.9997530012792,19.9874867378472,19.9818911548833,19.9204536283259,19.8492048031239,19.8029215224852,19.7798734977371,19.7363901719694,20.0935931185549,20.4491806333159,20.7743098490399,21.3946085900788,21.6112224904443,22.0263077965194,22.2003031121119,22.3590233024146,22.4368209288564,22.4205422992135,22.4930420769089,22.6430026589805,22.5991310988109,22.6587450832297,22.6989881327508,22.4907422642223,22.3514393876464,22.2198266460019,21.9585178756024,21.7397949222068,21.5253682263267,21.3578973203205,21.3402218520684,21.3103957970567,21.2915225860426,21.2809482883744,21.2408036620881,21.1837261046857,21.1341412717157,21.1012078037871,21.0602254656167,21.0021814217334,20.9468379594185,20.8910138391542,20.8457116218268,20.7376189677564,20.6937114549149,20.6468896579359,20.630592013929,20.5920944731603,20.480752943727,20.3790309676472,20.3065667838693,20.2374656472655,20.2117202649679,20.1815877167876,20.1723355208758,20.1315298348088,20.5683246142692,20.9750482344941,21.0705973129549,21.4623621474016,21.7337999880531,22.0697095524642,22.2708551629225,22.2456330662835,22.2439448916589,22.1453813108836,22.0515588573762,22.0405393369738,21.9630779079238,21.9813802220054,22.0138699155945,21.9624241364761,21.9884562727023,21.9898300451035,21.9046770930887,21.7756306925853,21.6309853015546,21.5289814615671,21.5433558691755,21.5111382344897,21.5282142148201,21.5457765759986,21.5170497560512,21.4854341442899,21.4368062754411,21.3827387731363,21.3037425247819,21.2342227875006,21.154255547197,21.087910849935
2,19.2333333333333,19.6263595132614,19.7866004719977,19.9121066778293,19.9957535403516,20.0483363291443,20.0634046502314,20.0781392072542,20.038402419951,20.0082779290053,19.9233771651978,19.892792425699,19.8566288756105,19.8551233091774,20.0810325585518,20.3181116628428,20.6107580029425,21.1820538837301,22.2749624665628,22.4320678713326,22.4672649122784,22.5076519315983,22.5313632095999,22.5877217952409,22.613108584966,22.8066002490595,22.8643794130511,22.8946340281116,22.7578675500634,22.6216658702896,22.4598010144476,22.2773020942801,22.0052893592523,21.7664314356586,21.5879511614679,21.4578515882009,21.4386557778505,21.4313609568316,21.4518722798525,21.4417555174103,21.4023759793176,21.3452024214041,21.2982710370929,21.2577815789279,21.2023597673674,21.1421978637675,21.0795090403842,21.0278019359403,20.9682609069875,20.8723372254599,20.8233570340974,20.8003256041515,20.7694480700358,20.7424992462354,20.6106517434707,20.5152420444038,20.4144187651117,20.3620585338054,20.3096617049311,20.2847839402448,20.2639549019062,20.2706819873909,20.507416599741,20.7476644047701,21.073723957206,21.6042472357804,22.2041629699661,22.3912281789627,22.4929956640228,22.4390729026299,22.3851009367905,22.3303412880493,22.2266846233962,22.2768125675619,22.264132899718,22.247328236215,22.1910830034673,22.1621601907357,22.1385403993166,22.0830180146276,21.985717998436,21.8501424861152,21.7453418768793,21.6722413126124,21.6832210724941,21.6764358499314,21.726037757847,21.7315633235034,21.7221337097394,21.6900426306528,21.6375366590422,21.5585899013694,21.4774000399133,21.3935025270744,21.3150298098676,21.2404020474864
3,19.4666666666667,19.5992184494986,19.7401822946056,19.8848614570307,19.9790040340397,20.0545197886633,20.0678623077269,20.0920807503331,20.0533129524719,20.0290892459183,19.9824136876828,19.9558287733051,19.9134192529103,19.9178949971068,20.0266303184141,20.2974348902545,20.5590757455561,20.8057106615116,21.0832080649642,21.3379435323407,21.5936909659565,21.6752257230642,21.8139773365182,21.9822264006784,22.0253237313447,22.0862852926781,22.2465833333055,22.3246663665253,22.3431897364284,22.3076210892105,22.2319435352203,22.1034341289235,21.9363626414223,21.7166509503483,21.5439908039005,21.4108432647031,21.4326822163759,21.4718798188737,21.5045484471632,21.517280746273,21.4774964853692,21.4213683909742,21.3772146942706,21.3466771074895,21.2846648996004,21.2221202945048,21.1613146081244,21.1123156652021,21.0463171745778,20.9975402164424,20.9522584377573,20.9404709473622,20.904715332999,20.8883910959115,20.7975398420267,20.6859837391915,20.5697334306372,20.5082169395707,20.4392358498898,20.4085851756942,20.3800438136299,20.3886526189473,20.5014457577718,20.7746891391232,21.0497553808399,21.2711448653937,21.5340290934961,21.7738813180359,21.9967457198373,22.082416299689,22.1271722296998,22.1076599702413,22.0736070636002,22.0779063067118,22.1135673195245,22.1216433830625,22.0652137311126,22.0645922424661,22.0720576362728,22.0319813168242,21.9407646488265,21.8108372154118,21.7292803541577,21.6540722898115,21.7086042330502,21.777551916185,21.8441113696639,21.8857034264032,21.8791686636806,21.8470445014477,21.7879282126304,21.7189438844693,21.6272761248244,21.5363709712671,21.4686351233522,21.399715873217
4,19.1,19.4395141486544,19.6107900473153,19.7168868257303,19.7973029855781,19.8072375886204,19.8333806387054,19.8440819970437,19.8124516188078,19.7819306044161,19.7521122415239,19.7182127327257,19.6874268653536,19.7012242071805,20.217035075962,20.4001009434763,20.6932511857632,20.9071135453591,21.2408940165382,21.5710291138164,21.8241366548215,22.0000204651343,22.1510805222374,22.2710774241722,22.3841974145643,22.4362912216465,22.5420872803863,22.6377853453954,22.2467053687661,22.0411662112438,21.88832037587,21.7343835560265,21.5693282966949,21.3856937229892,21.2228272971832,21.0997068653436,21.0392484152025,21.0477623298606,21.0594108956535,21.0194124082432,20.9966857873393,20.9354024454033,20.8976430562892,20.8443858459731,20.8077888218434,20.7601608588279,20.7121419572099,20.6603843488667,20.6159641923433,20.5724163920609,20.5094718276361,20.4767792096776,20.4488693371244,20.3897655144197,20.3437262442481,20.2653207146588,20.1651310450903,20.1006089709315,20.0537152244163,20.0182277723939,19.9936290180343,20.0392689091279,20.57963936549,20.7642505406753,21.1169444531413,21.3353586302736,21.5678624727686,21.8594731716559,22.0418790123942,22.1865437423106,22.0153458663288,21.9480703317529,21.809488433638,21.7369779256285,21.793852577668,21.8246434746946,21.6953406883756,21.6511967041246,21.632589090298,21.5922714181476,21.5233496092449,21.4231043276604,21.3258604931071,21.2585696967102,21.2056454985378,21.2384485581437,21.2743613553008,21.2314189868004,21.2236728845059,21.1839693252161,21.1539880209708,21.0536856565547,20.9943488382235,20.9300882466195,20.8677012503653,20.7864483905242
5,19.1,19.2630606358441,19.3970375557131,19.5416109405452,19.6324914287695,19.7160333259101,19.7365824832422,19.7655989132442,19.7332501688493,19.7129636685014,19.6669548865591,19.6369610687906,19.592521535692,19.5911881984159,19.6691921719684,19.9601857349878,20.2449228887906,20.5471104817409,20.9886918113766,21.303631938661,21.5883875523628,21.7599569626011,21.9313254307776,22.0882023577586,22.1798832528911,22.2412171288913,22.4111996616555,22.3637264668582,22.2420073508208,22.1362872441796,22.027121744732,21.8815599338968,21.7114330898626,21.495367557892,21.328176145301,21.1899777899811,21.1888132324783,21.2028441940283,21.2170596336669,21.2217152380493,21.1782293698844,21.1246203149594,21.0805607606517,21.0464089931837,20.9801355419153,20.918136825454,20.8526250913597,20.8020165550264,20.7365173470319,20.688659917989,20.6392464690887,20.6058263509159,20.5597461785024,20.5398719081299,20.4498622428728,20.3460195974814,20.2409193904729,20.1790966756967,20.1037616928477,20.0656876392889,20.0300276252098,20.0301284903395,20.1139418815111,20.4145855272371,20.7202433350101,21.0078056121992,21.4217091289063,21.7037669476147,21.9488403723627,22.0135407321971,22.0097374768322,21.9467167320054,21.8889178473906,21.8727697338918,21.923278677282,21.8780341450998,21.851535834951,21.8524396931368,21.8420656303695,21.7867831966587,21.6953848525909,21.5721466692634,21.4857254244081,21.3942042716818,21.4368662179067,21.4829394507081,21.5271633505652,21.549484599682,21.5338085244858,21.5019422860275,21.4480071889519,21.3874414561476,21.2970088069157,21.2073467462849,21.1227156500103,21.0489537021037
6,18.6,18.8987282627948,19.0793382239885,19.2439330930392,19.3605954998922,19.4281765625937,19.4426232981608,19.4540834641018,19.4138130671342,19.376538196557,19.3241359279402,19.2821906033854,19.2339474454254,19.2118924011755,19.5255541678064,20.0010091900135,20.495279036313,20.9515555528431,21.7111996414772,22.1992175370537,22.5874326773777,22.8291403194945,23.0253671422197,23.1626880596801,23.2778067112224,23.3523335558999,23.5258367652984,23.3144928071185,22.7020257840712,22.2454658631763,21.9496723408975,21.7016768910083,21.4754762913521,21.2476492234141,21.0693564848207,20.9235001655555,20.8913175064382,20.8844294358506,20.892918856008,20.8671549381839,20.800468850781,20.750946708367,20.7082795706804,20.6554209998358,20.5846357344418,20.5211141967869,20.4601109962396,20.4045457779296,20.3427679166407,20.2937331980585,20.2300431939662,20.1744676806427,20.1149213906572,20.0586632041021,19.9681851243529,19.8788004585873,19.782064113041,19.7086290001934,19.630472212433,19.5817293347944,19.5401230605654,19.5233699833988,19.8606396233441,20.3649014197996,20.9240004145073,21.4286652433357,22.1296294538031,22.5535594479043,22.8415907211189,22.8380218219403,22.5541377300905,22.2588218283425,22.0384495338723,21.9434417112409,22.0011922523074,21.8823946679267,21.7094839256557,21.6170695814514,21.5658714181237,21.4976116951015,21.4129798158007,21.304545496495,21.1988185453608,21.0863666153111,21.072768701569,21.0811627430577,21.0961501879434,21.0763393658361,21.0271669073542,20.9849305915793,20.9389540744771,20.8586542346332,20.7583864572449,20.6641849668912,20.5809115798113,20.4930700599652
7,18.8,19.0496541530524,19.2524792382525,19.430484237402,19.5537212144874,19.6107680324436,19.6147561406943,19.6191404552189,19.5665357178592,19.5199802127795,19.4608331346214,19.4139048382283,19.3617745104049,19.3361082740286,19.7954803499585,20.388693106115,20.975943494812,21.4880728644837,22.4377657527601,22.9235415611821,23.3505265882973,23.5967793770311,23.790997809366,23.9216370317318,24.0501471020229,24.1239298406326,24.3206490233851,23.9740904378037,23.1326871828344,22.6018786772114,22.2680340857243,21.9863301666918,21.7361174488293,21.491777421758,21.3058390748826,21.1544522200528,21.1334972442199,21.1310849810142,21.1371188202963,21.100315809929,21.0379961000682,20.9790973038812,20.9310495376219,20.8662031578362,20.7867341705733,20.7187020824925,20.6550511582403,20.5953227719044,20.5301661740266,20.4788834425884,20.4051374120209,20.3413514523447,20.2767618547425,20.2071232822904,20.1070914148708,20.0141380818514,19.9108103015876,19.8316169826791,19.7492828080553,19.6992633856957,19.6564217373695,19.6382246752933,20.1318654194793,20.7626048745872,21.4361075753808,22.0133917306405,22.8677673177908,23.2797467171648,23.5771635906098,23.494331870912,23.0671630550714,22.6957437056202,22.4348175519028,22.346974331488,22.4294348057401,22.245548727885,22.0231978883583,21.9116383886388,21.8562873628135,21.7791879171814,21.6890074371729,21.5724406134609,21.4523100915421,21.3264933482924,21.3163955509948,21.3234029073861,21.343326027263,21.3027897653945,21.244311273182,21.1925688215977,21.1428581500706,21.0437343148518,20.9295977105442,20.828439952895,20.7418747695336,20.6453456752356
8,18.8,19.1256835453034,19.3189715512115,19.4293824037096,19.5229845902005,19.4895993178722,19.5202791453084,19.5258599716656,19.4715752778681,19.430569485984,19.3967099379815,19.352551640334,19.3171555268584,19.2850473391443,20.3202808735289,20.5511394921219,20.9895290999629,21.2525617585779,21.7287591287299,22.1768346097596,22.4914290941149,22.7069315778357,22.8992712751124,23.0171389652885,23.1654787607333,23.1990819504937,23.3383531259523,23.4444768065272,22.6051851954362,22.2346524918557,21.9972692862253,21.7818355228147,21.5689802164049,21.3514299515957,21.1632213834592,21.0213102042509,20.9306917565736,20.9314222312827,20.9385193937872,20.8492853610453,20.8262313634111,20.7484449715658,20.710117177994,20.6263813752266,20.5897202584902,20.5380331955036,20.4874425282843,20.4217229214026,20.3749843007192,20.3253311794111,20.2307621917293,20.188742997469,20.1559697234835,20.0525054505607,20.0074586898272,19.9261701249277,19.8050372517202,19.729934454881,19.68008486891,19.6392797487946,19.610250264217,19.5898048955086,20.6872520940997,20.9329321047936,21.4955473476408,21.78343917505,22.0831523139055,22.4752158392756,22.6615660440533,22.8280683603833,22.4028470745947,22.2600364017092,22.0047321730857,21.870786500009,21.9914904057166,22.0311140220335,21.7588329796991,21.6735989794331,21.6376804166013,21.5831410414548,21.5065847677238,21.394105330259,21.2707188671337,21.1922075093323,21.0819347307776,21.1076724804612,21.140208154695,21.0287107572347,21.0174224158403,20.9635752049051,20.9410164679612,20.7817272711804,20.7215517371817,20.6542503785661,20.5884401013872,20.4759570819351
9,17.8333333333333,18.0472312557824,18.2157328594938,18.4444111675564,18.5737897896394,18.7137208427671,18.7010780068089,18.727566953765,18.6317447775473,18.5839194615045,18.4794549850267,18.4232473099423,18.3321393194406,18.3338631083601,18.4351655376201,19.208828950736,19.9356592935558,20.7418625728252,22.174742320738,23.0112122146202,23.7316890288098,24.1144600553977,24.4870680594605,24.7560973005153,24.8852368869381,24.980883169338,25.3532864642291,24.785598642334,23.9029363602583,23.1702380840255,22.602851151926,22.0830381565492,21.6248886671095,21.1706274531372,20.8950629543636,20.6892312791855,20.7784316360276,20.8060593497839,20.8437454893401,20.8350833412879,20.4,20.3839001701777,20.3774577388987,20.3676093175388,20.2577661190506,20.1685202495729,20.0758109887514,20.0131845502072,19.9101397187917,19.8515782399306,19.7812806470271,19.7185773338244,19.607308829573,19.5619855457078,19.3574562732686,19.1849150074003,19.0419521966523,18.9781327655728,18.8530517447901,18.8039149734325,18.7412889543177,18.7457306908359,18.8558284370841,19.6647264855667,20.4559405427686,21.3013145434961,22.7121090163946,23.4857978387882,24.0881284618495,23.9903091366303,23.6381805372586,23.121053064594,22.7646884172461,22.5993463668014,22.6629389752939,22.3238873404284,22.074488115059,21.9528489338476,21.8445172543011,21.6665983100014,21.4656783866316,21.2485983734216,21.1178479365384,20.9451966429083,21.0792202583047,21.1270652532449,21.113317424483,21.0958593932141,20.7,20.7226730323059,20.6812307029397,20.6321877539149,20.4839523763107,20.3422011090151,20.2161968898906,20.1054011032119
