"testMat[, 1]","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
0,20.1,19.7095984935061,19.5,19.6402512038036,19.1,19,19.3619596480457,18.6,19.1159638904941,18.4,18.3,18.9387742677722,20.2,19.6171016776638,24,24,23.6481335689778,25.9,24.6819827916476,24.6,24.9,24.3445685591928,25.8,24.5221760873675,26.3,26.2,24.5448869659347,25,23.94003212264,23.6,23,22.3990197072662,22,21.8934138537515,21.4,21.6,21.4067326646414,21.4,21.2434190792497,21.1,21,20.8922020229493,20.8,20.6941878724398,20.6,20.5,20.478505271938,20.3,20.3403284149574,20.1,20,20.0662209537034,19.7,19.841918898971,19.4,19.3,19.4553688819743,19.1,19.2814598088084,19.1,21.1,20.0271189200846,24.3,23.6584327555368,24.9,24,23.8016063292529,24.3,23.7640948133681,23.6,23,22.7086359435028,23.6,22.3871781318718,24.3,24.2,22.8652949370721,23.5,22.2748666566957,22.9,22.5,21.9623429281146,21.7,21.7247055103428,21.6,21.5,21.4513966101395,21.2,21.2130631873631,20.9,20.8,20.7714689057572,20.7,20.541421273895,20.5,20.2
1,20.5,20.1707256819781,19.9,19.8639889956413,19.9881501961499,19.4,19.5742870675116,19,19.2563530664753,19.6330271386292,18.7,19.1118871686306,19.7,20.3672995332735,20.4743892390772,23.5,23.2589811972355,24.5,23.8931277106347,23.3815223076308,23.8,23.2677773283135,24.2,23.5602027636578,23.0641682226581,24.4,23.6258138264286,23.4,23.1580508232831,22.5257569563388,22.4,22.2308832398045,21.7,21.7094969128771,21.5692332187454,21.9,21.4455683564407,21.8,21.4265184347072,21.3285939491128,21.3,21.0875493036659,21.1,20.9378553736521,20.8866055419302,20.8,20.7252357625635,20.6,20.5756857603274,20.6113466096184,20.3,20.268360731689,20,20.0655433071028,20.2510982197182,19.6,19.7491434841388,19.5,19.5808929361659,19.8649123555316,20.9,20.7555068043758,23.9,23.9737805093916,23.2300480360956,23,22.7966850179963,23.1,22.7518872973368,22.3243677445252,22.3,22.1575066100466,22.7,22.3298139155985,22.0332919741437,22.9,22.6225231084788,22.6,22.436078909567,21.9341302960838,22,21.9509356179253,21.8,21.6673533056969,21.5843849396718,21.8,21.5713842063351,21.6,21.38814199834,21.3321387740765,21.1,21.0119574783095,21,20.8999603298738,20.8810639251877,20.7
2,20.3,20.0745662946068,19.7,19.9223051300525,19.9058963655321,19.1,19.5701864598402,18.8,19.459609751208,19.4461254982426,18.4,19.1652246907163,20.7,19.9540096127835,20.7524730436128,24.4,23.7326693999274,25.4,24.6628145397686,24.2250322909896,24.3,23.5279642241901,24.8,23.7487056874666,23.6217691138734,25.1,23.7312573686873,24.2,23.145806279577,22.6960797056223,22.7,22.1247250894708,21.9,21.8759785979054,21.6961761839128,21.7,21.6518645663523,21.6,21.539473488195,21.4949021903091,21.2,21.1782075966801,21,20.9614141716148,20.964946815963,20.7,20.7652853962196,20.5,20.6403326391237,20.6474689349197,20,20.3332947162944,19.8,20.2231785778808,20.1769897417991,19.4,19.7789513432101,19.2,19.6837406151043,19.7747504336905,21.5,20.5529413082136,24.5,23.802071325842,23.8004004377616,23.5,22.9658162901908,23.4,22.7635820721435,22.5632274212647,22.7,22.2141284751509,23.1,22.2465337440637,22.4720895088822,23.5,22.5857423045239,23.2,22.2114992425522,22.2048298069303,22.3,21.9846913775866,21.8,21.8260157419352,21.8352149481242,21.7,21.7246266959539,21.4,21.5102672897152,21.4750766220815,21,21.1195442858195,20.9,20.9373444670479,20.9671306600005,20.4
3,20.7,20.5683610221935,20,20.0637566940079,20.1326536877625,19.5,19.6957183009432,19.2,19.4214500040811,19.5874870075449,19,19.2494067116643,20.5,20.6445457563864,20.7361156822801,25.1,24.3157757848164,25.8,24.9255443495339,24.1833417197071,23.4,23.1040168812599,23.4,23.1946390266018,23.0520518963939,23.5,23.2981325437748,22.8,22.7325864924131,22.6417505434833,21.8,21.9181775176227,21.7,21.7963024981326,21.7757148284869,21.8,21.8245135614052,21.8,21.8269660181114,21.8063933227721,21.4,21.4357745437846,21.1,21.205403020957,21.2429229101409,20.9,20.9879619300837,20.7,20.8369768435601,20.9144435820521,20.3,20.4945845009648,20.1,20.327362098277,20.4448690227736,19.7,19.9183902011849,19.5,19.7674619139763,19.9687362681505,21.3,21.1494400995436,25.4,25.0746458955298,24.4483883190662,23.1,22.8111986359181,22,22.1028747729606,22.1680492599505,21.8,21.8757803794847,22.3,22.2704082314688,22.26469774443,22.4,22.3597493790508,22.2,22.2316594361935,22.2537598668495,21.8,21.9221750682209,21.7,21.8516001511036,21.9668447713982,21.8,21.9261920826842,21.6,21.7628427294192,21.8144526761929,21.3,21.4175236464528,21.1,21.2552364695878,21.3252938238039,20.8
4,20.3,20.123250973223,19.7,19.7134504236198,19.7143807832393,19.2,19.3787155459168,18.9,19.2036155908647,19.3040438155676,18.7,18.9911883926459,19.7,20.0902168921031,20.6080997039653,23.2,22.8782362622578,24,23.35147805074,23.1807428622453,23.7,22.9290847715528,23.7,22.8627150382777,22.8063417652643,23.4,22.9569255166999,22.9,22.5804390283511,22.1751136268673,22.3,21.7318566962301,21.5,21.3387671353888,21.2121213722585,21.3,21.2671065559092,21.3,21.1996082360603,21.0955978142471,20.9,20.8244140305358,20.7,20.6637357760243,20.6278792658353,20.5,20.4337954015939,20.3,20.3227972026299,20.3210751904858,19.9,20.0202745398258,19.6,19.8651624532244,19.9208756001311,19.1,19.4505628435177,19,19.4085006875951,19.5415119167698,20.4,20.4770615491518,23.8,22.9639135299794,23.0372465586796,23.5,22.7506741791732,22.6,22.234698730353,22.0926821857554,21.9,21.6302744681855,22.3,21.8353187796188,21.811329212164,22.6,21.9164213400688,22.3,21.7882215612381,21.6448076090293,21.8,21.51819767771,21.5,21.3624921914373,21.3170769577625,21.5,21.2907621819985,21.2,21.1481227383632,21.0606278346501,20.8,20.7444662739852,20.6,20.6435719781685,20.6320630442337,20.2
5,20.4,20.0812866353923,19.7,19.5482741763259,19.4533199070422,19.2,19.1927135193905,18.9,19.0265110323587,18.9579762783477,18.7,18.8087669396406,20.6,20.4706725689848,21.0178161243535,24,23.5020031649115,24.7,24.1798843464222,23.9404606924426,23.3,22.9344286003821,22.7,22.7374027530049,22.8666292090819,22.9,22.9286936385004,22.4,22.3605163663657,21.9538780569475,21.9,21.3722007946782,21.4,21.2462934246006,21.0866216337304,21.4,21.293000656605,21.3,21.1797028722095,21.1197029507199,20.9,20.7836537236869,20.7,20.6266916265868,20.5826852153742,20.4,20.3542057581145,20.3,20.2956772860323,20.2585175145726,19.9,19.9245871545607,19.6,19.8040286498744,19.7568815337381,19.2,19.2937047888104,19.1,19.2485735957518,19.3221853918629,20.7,20.6569219573533,24.4,24.1251816745286,24.0358366620244,23.4,22.922465299581,21.9,21.9372589602662,21.9238840299174,21.6,21.574034281394,21.9,21.7520200372945,21.9818708193695,22,21.6361724065337,21.7,21.4978712603319,21.5603686350654,21.5,21.3295071551251,21.5,21.4257526858132,21.4377929126134,21.5,21.3683297631257,21.3,21.2510905290976,21.1874795007125,20.9,20.856070247261,20.7,20.7218130773763,20.7033082192806,20.3
6,19.8,19.7040693878458,19.1,19.3515959134042,19.2409641486188,18.6,18.8199024154912,18.2,18.7360359275271,18.7398494551187,18,18.404900682725,20.3,19.7071712347451,20.6496135607112,23,23.1230980900104,24.1,23.6195205847613,23.7458167574028,24.4,23.9643684407262,24.7,23.9002383660948,23.7917220613596,22.7,23.4106191254664,22.2,22.7981887389156,22.3276850000551,22,21.8508219342197,20.9,21.2816327857872,21.0087826116299,21.2,20.8595682413201,20.8,20.749760319481,20.6573497177626,20.4,20.3160344250738,20.3,20.2242678051529,20.1609955205758,20,19.8724546627751,19.8,19.8422723935059,19.8307467196249,19.4,19.4148273252365,19.2,19.3484637193938,19.3410961031547,18.7,18.7680528288242,18.6,18.8260704394883,18.9247568708168,20.2,20.2006983944793,24,22.9455518993171,23.3321383994525,24.9,24.2458559172446,23.4,22.9779084427351,22.8531811758976,21.9,21.8039297931929,22,21.8298627609225,21.9120004099666,22.1,21.7854454953767,22,21.6277580847138,21.4517382902768,21.6,21.315200800037,21.5,21.2226820702036,21.0907094680056,21.1,20.9034257433647,20.9,20.7533833802137,20.6530457350425,20.4,20.298521000314,20.3,20.2018654447702,20.1613311461468,19.9
7,19.9,19.939223315837,19.3,19.5487372660184,19.5372676573834,18.8,19.0755351782735,18.4,18.9356952014772,19.027525857396,18.3,18.655499464553,19.9,19.8332324778396,21.0317932326823,23.4,23.5210730055641,24.4,24.034063489801,24.2277413688516,25,24.665420982883,25.4,24.7142764232015,24.5371750066463,23.3,23.9638987285592,22.6,23.3884607050944,22.768444106958,22.8,22.2750505281604,21.7,21.5905954046808,21.3740445806828,21,21.0745521103388,20.8,20.9255661787015,20.8897925471232,20.4,20.5366106317425,20.2,20.401562229703,20.4194676717765,19.9,20.1044980298795,19.7,20.0168724679678,20.0570060350325,19.3,19.6150720216666,19.1,19.5343156654199,19.5677146644991,18.6,18.9759927056388,18.5,18.9972812825476,19.149590289454,20.2,20.4848092968856,24.6,23.2117041745014,23.7664215289996,25.8,24.9888118622228,23.8,23.7628987886499,23.4306846125548,22.3,22.2103989641295,22.3,22.1816290966899,22.3249499145525,22.4,22.1478216298208,22.3,21.9426458416919,21.8181492468156,21.8,21.6636444815397,21.5,21.4628498932109,21.3383346720365,21.1,21.0909908140609,20.8,20.9123418731069,20.8193110479924,20.4,20.4618508616999,20.2,20.3463747827152,20.3372589938341,19.8
8,19.9,19.9154109401521,19.2,19.4765587510018,19.4956155114534,18.8,19.1305932272237,18.5,18.9916256555917,19.0950122000433,18.4,18.7517006673722,19.9,19.9154724729613,20.7518582986216,22.8,22.7214666541322,23.8,23.1870533026699,23.3028972090452,24.2,23.3613434456557,24.5,23.2663215213135,23.2418512382248,22.7,23.1155230921247,22.1,22.7537838479661,22.2573855783377,22.4,21.808313828605,21.7,21.332157078256,21.1398925845117,21,21.1192552167045,20.9,20.9897348465767,20.8883043671709,20.5,20.5895749303025,20.3,20.4315444590866,20.412540489162,20,20.1598602784065,19.8,20.0527009307556,20.0679996401297,19.4,19.7338305608139,19.2,19.6040501278383,19.6549386059192,18.7,19.1547752284649,18.5,19.132066611814,19.2713832420508,20.4,20.343307829152,23.5,22.2991078961615,22.8890106738958,24.3,23.2786552953934,22.9,22.6712808275237,22.4403506858413,21.5,21.6459025857396,21.7,21.742355324718,21.8677455004497,21.7,21.7372004465827,21.6,21.6315999809899,21.5600370205166,21.3,21.3991389208785,21.2,21.2267034113084,21.1492087313589,21.1,21.0426832136103,20.8,20.9075284110712,20.7986235537042,20.4,20.4486498428694,20.2,20.368220872374,20.3560751898339,19.8
9,18.4,18.4100929002897,17.7,18.2536742966558,18.0931529827897,17.4,17.5674645551204,17,17.7773974732308,17.5333371323271,16.7,17.0056427260197,19,18.6167370626928,20.4524368174372,20.3,21.3307414925369,21.2,21.9276690578157,22.8189360687676,22.2,23.2147246978648,22.5,23.5639450303038,24.1564811133166,22.7,23.9913179139683,22.6,23.7241961680576,22.8973734859429,22.4,22.005302109407,21.5,21.4353337015545,21.0122023620492,21.9,21.3916817532098,21.6,21.1469682797412,20.7087905377765,20.4,20.1521829747483,20.1,20.0715114099095,19.8071493815301,19.4,19.3936503899853,19.1,19.3872735395473,19.2632455171314,18.8,18.8908502970243,18.5,18.9331684324773,18.6031297332381,17.9,17.9656840757959,17.9,18.2560770156295,18.1720915542047,18.3,18.9289197180646,20.3,20.1641551712624,21.6986155487789,21.5,22.7468964044493,22.4,23.2624308643992,23.4498318314158,22,22.1805503618258,22.3,22.2044114781896,22.4665411470128,22.4,22.1588285885294,23.5,22.5184434717397,22.2140129208785,22.2,21.805711048173,21.5,21.4355947030662,21.243384208674,21.1,20.9190564695967,21.1,20.9205918268557,20.5801853373592,19.9,19.9113871920302,20.1,20.0624815737427,19.8331842988241,19.4
